feature_set,model,outer_fold,peptide_pca,nflank_pca,cflank_pca,inner_cv_auc,outer_auc
handcrafted_sparse_esmc,rf,0,15,5,10,0.6101830252210888,0.6098606738215228
handcrafted_sparse_esmc,rf,1,15,5,20,0.6086152059759721,0.6116819204852211
handcrafted_sparse_esmc,rf,2,20,10,5,0.6110508741899074,0.6036844575657804
handcrafted_sparse_esmc,rf,3,20,5,5,0.6127371673728177,0.6090601930060957
handcrafted_sparse_esmc,rf,4,20,5,20,0.613703336861213,0.6069613902350078
handcrafted_sparse_esmc,rf,5,20,10,5,0.607752099565414,0.6123822921900751
handcrafted_sparse_esmc,lr,0,10,25,15,0.6060263024319549,0.6001239607114357
handcrafted_sparse_esmc,lr,1,10,25,15,0.6054326274232658,0.6083842738343748
handcrafted_sparse_esmc,lr,2,10,25,15,0.6055810332361922,0.6018102228510789
handcrafted_sparse_esmc,lr,3,15,25,5,0.6026847624261122,0.5897836524242164
handcrafted_sparse_esmc,lr,4,10,25,15,0.6064983386736098,0.6025880353268923
handcrafted_sparse_esmc,lr,5,10,25,15,0.6030422560782144,0.6142156760699575
