feature_set,model,outer_fold,peptide_pca,nflank_pca,cflank_pca,inner_cv_auc,outer_auc
handcrafted_sparse_esmif,rf,0,5,15,5,0.5823504779477663,0.5908609628681261
handcrafted_sparse_esmif,rf,1,5,10,5,0.5842205182278744,0.5761806183576194
handcrafted_sparse_esmif,rf,2,5,15,5,0.5799164724229097,0.5762338779897147
handcrafted_sparse_esmif,rf,3,5,15,10,0.5826133950119143,0.5826821107986675
handcrafted_sparse_esmif,rf,4,10,10,10,0.5771084429894225,0.5785908621203019
handcrafted_sparse_esmif,rf,5,5,10,10,0.5839669274856658,0.5858703551088955
handcrafted_sparse_esmif,lr,0,5,5,5,0.578086671006613,0.5772647155204417
handcrafted_sparse_esmif,lr,1,10,5,20,0.5807359498897547,0.5688684069165754
handcrafted_sparse_esmif,lr,2,10,5,5,0.5798643069522491,0.5760720116459417
handcrafted_sparse_esmif,lr,3,15,5,10,0.5807884645403029,0.5662508442843834
handcrafted_sparse_esmif,lr,4,10,5,5,0.5791356820126701,0.5824203020950127
handcrafted_sparse_esmif,lr,5,5,10,10,0.5774734048726204,0.577957269049552
