component_idx,explained_variance_ratio,cumulative_variance
1,0.50422263,0.50422263
2,0.06923989,0.57346255
3,0.04798063,0.62144315
4,0.04221153,0.66365469
5,0.03244443,0.69609910
6,0.02671598,0.72281510
7,0.02071253,0.74352765
8,0.01417702,0.75770468
9,0.01283260,0.77053726
10,0.00984666,0.78038394
11,0.00955861,0.78994256
12,0.00733371,0.79727626
13,0.00647566,0.80375195
14,0.00595455,0.80970651
15,0.00498180,0.81468832
16,0.00467436,0.81936270
17,0.00437613,0.82373881
18,0.00420786,0.82794666
19,0.00386069,0.83180737
20,0.00355480,0.83536220
21,0.00320425,0.83856642
22,0.00311491,0.84168136
23,0.00297786,0.84465921
24,0.00270062,0.84735984
25,0.00242213,0.84978199
26,0.00227526,0.85205728
27,0.00221504,0.85427231
28,0.00207720,0.85634953
29,0.00200056,0.85835010
30,0.00191138,0.86026150
31,0.00185270,0.86211419
32,0.00178434,0.86389852
33,0.00170169,0.86560023
34,0.00163546,0.86723566
35,0.00147897,0.86871463
36,0.00144663,0.87016124
37,0.00138660,0.87154782
38,0.00138196,0.87292981
39,0.00134298,0.87427276
40,0.00130909,0.87558186
41,0.00128972,0.87687159
42,0.00122909,0.87810069
43,0.00120065,0.87930131
44,0.00117903,0.88048035
45,0.00115104,0.88163137
46,0.00109849,0.88272989
47,0.00106718,0.88379705
48,0.00104443,0.88484150
49,0.00102971,0.88587123
50,0.00100715,0.88687837
51,0.00097390,0.88785225
52,0.00094301,0.88879526
53,0.00094254,0.88973778
54,0.00091502,0.89065284
55,0.00087688,0.89152974
56,0.00086423,0.89239395
57,0.00084255,0.89323652
58,0.00083360,0.89407015
59,0.00082139,0.89489156
60,0.00079633,0.89568788
61,0.00078358,0.89647144
62,0.00076216,0.89723361
63,0.00075439,0.89798802
64,0.00074219,0.89873022
65,0.00071870,0.89944893
66,0.00070483,0.90015376
67,0.00068351,0.90083724
68,0.00067505,0.90151227
69,0.00066681,0.90217906
70,0.00065460,0.90283364
71,0.00065141,0.90348506
72,0.00063663,0.90412170
73,0.00061479,0.90473646
74,0.00061205,0.90534848
75,0.00060071,0.90594918
76,0.00058900,0.90653819
77,0.00058445,0.90712261
78,0.00057013,0.90769273
79,0.00056499,0.90825772
80,0.00055877,0.90881652
81,0.00054781,0.90936434
82,0.00053300,0.90989733
83,0.00052925,0.91042656
84,0.00052617,0.91095275
85,0.00052160,0.91147435
86,0.00051466,0.91198897
87,0.00050827,0.91249722
88,0.00050197,0.91299921
89,0.00049031,0.91348952
90,0.00048394,0.91397345
91,0.00047693,0.91445041
92,0.00047232,0.91492271
93,0.00046230,0.91538501
94,0.00045914,0.91584414
95,0.00045176,0.91629589
96,0.00044313,0.91673899
97,0.00044304,0.91718203
98,0.00043545,0.91761750
99,0.00043240,0.91804993
100,0.00042871,0.91847867
101,0.00042595,0.91890460
102,0.00042153,0.91932613
103,0.00041482,0.91974097
104,0.00041231,0.92015326
105,0.00040481,0.92055809
106,0.00040388,0.92096198
107,0.00040065,0.92136264
108,0.00039744,0.92176008
109,0.00039475,0.92215484
110,0.00038827,0.92254311
111,0.00037881,0.92292190
112,0.00037655,0.92329842
113,0.00037173,0.92367017
114,0.00036911,0.92403930
115,0.00036574,0.92440504
116,0.00036134,0.92476636
117,0.00035518,0.92512155
118,0.00035436,0.92547590
119,0.00035011,0.92582601
120,0.00034547,0.92617148
121,0.00034423,0.92651570
122,0.00034206,0.92685777
123,0.00033858,0.92719638
124,0.00033514,0.92753154
125,0.00033328,0.92786485
126,0.00032985,0.92819470
127,0.00032904,0.92852372
128,0.00032481,0.92884851
129,0.00032185,0.92917037
130,0.00031892,0.92948931
131,0.00031535,0.92980468
132,0.00031288,0.93011755
133,0.00031097,0.93042850
134,0.00030856,0.93073708
135,0.00030547,0.93104255
136,0.00030219,0.93134475
137,0.00029979,0.93164456
138,0.00029750,0.93194205
139,0.00029470,0.93223673
140,0.00029185,0.93252856
141,0.00029015,0.93281871
142,0.00028580,0.93310452
143,0.00028508,0.93338960
144,0.00028419,0.93367380
145,0.00028332,0.93395710
146,0.00027778,0.93423486
147,0.00027521,0.93451005
148,0.00027269,0.93478274
149,0.00027027,0.93505299
150,0.00026868,0.93532169
151,0.00026694,0.93558866
152,0.00026505,0.93585372
153,0.00026394,0.93611765
154,0.00026102,0.93637866
155,0.00025991,0.93663853
156,0.00025876,0.93689728
157,0.00025701,0.93715429
158,0.00025577,0.93741006
159,0.00025533,0.93766540
160,0.00025104,0.93791646
161,0.00024953,0.93816596
162,0.00024834,0.93841428
163,0.00024540,0.93865967
164,0.00024456,0.93890423
165,0.00024347,0.93914771
166,0.00024298,0.93939066
167,0.00024110,0.93963176
168,0.00023785,0.93986958
169,0.00023744,0.94010705
170,0.00023462,0.94034165
171,0.00023386,0.94057548
172,0.00023266,0.94080812
173,0.00023126,0.94103938
174,0.00022819,0.94126755
175,0.00022578,0.94149333
176,0.00022531,0.94171864
177,0.00022349,0.94194216
178,0.00022234,0.94216448
179,0.00022146,0.94238591
180,0.00022006,0.94260597
181,0.00021913,0.94282508
182,0.00021815,0.94304323
183,0.00021714,0.94326037
184,0.00021328,0.94347364
185,0.00021206,0.94368571
186,0.00021100,0.94389671
187,0.00020944,0.94410616
188,0.00020922,0.94431537
189,0.00020744,0.94452280
190,0.00020642,0.94472921
191,0.00020516,0.94493437
192,0.00020444,0.94513881
193,0.00020362,0.94534242
194,0.00020257,0.94554502
195,0.00020170,0.94574672
196,0.00020090,0.94594759
197,0.00019919,0.94614679
198,0.00019756,0.94634432
199,0.00019579,0.94654012
200,0.00019557,0.94673568
201,0.00019407,0.94692975
202,0.00019346,0.94712323
203,0.00019238,0.94731563
204,0.00019065,0.94750631
205,0.00018891,0.94769520
206,0.00018807,0.94788325
207,0.00018764,0.94807088
208,0.00018676,0.94825763
209,0.00018517,0.94844282
210,0.00018462,0.94862741
211,0.00018287,0.94881028
212,0.00018127,0.94899154
