component_idx,explained_variance_ratio,cumulative_variance
1,0.16968885,0.16968885
2,0.07889424,0.24858308
3,0.06415815,0.31274122
4,0.05906508,0.37180629
5,0.05025846,0.42206475
6,0.02861678,0.45068154
7,0.02319950,0.47388104
8,0.02085982,0.49474084
9,0.01956067,0.51430154
10,0.01631563,0.53061718
11,0.01480756,0.54542476
12,0.01339113,0.55881590
13,0.01277035,0.57158625
14,0.01122128,0.58280754
15,0.01059012,0.59339768
16,0.01036402,0.60376167
17,0.01016647,0.61392814
18,0.00927892,0.62320709
19,0.00900636,0.63221347
20,0.00834627,0.64055973
21,0.00802523,0.64858496
22,0.00703418,0.65561914
23,0.00631143,0.66193056
24,0.00606820,0.66799873
25,0.00586281,0.67386156
26,0.00570293,0.67956448
27,0.00549239,0.68505687
28,0.00513941,0.69019628
29,0.00490820,0.69510448
30,0.00461819,0.69972265
31,0.00446775,0.70419037
32,0.00428593,0.70847631
33,0.00422786,0.71270418
34,0.00409916,0.71680337
35,0.00396536,0.72076875
36,0.00381727,0.72458601
37,0.00376063,0.72834665
38,0.00355520,0.73190182
39,0.00344220,0.73534405
40,0.00340612,0.73875016
41,0.00332266,0.74207282
42,0.00330369,0.74537653
43,0.00315550,0.74853206
44,0.00307090,0.75160295
45,0.00306726,0.75467020
46,0.00288963,0.75755984
47,0.00286341,0.76042324
48,0.00284327,0.76326650
49,0.00277151,0.76603800
50,0.00273086,0.76876885
51,0.00265868,0.77142751
52,0.00259178,0.77401930
53,0.00255386,0.77657318
54,0.00250138,0.77907455
55,0.00244103,0.78151560
56,0.00238004,0.78389567
57,0.00236326,0.78625894
58,0.00234771,0.78860664
59,0.00230903,0.79091567
60,0.00218574,0.79310143
61,0.00216090,0.79526234
62,0.00214372,0.79740608
63,0.00210142,0.79950750
64,0.00203847,0.80154598
65,0.00203112,0.80357713
66,0.00198649,0.80556363
67,0.00195339,0.80751699
68,0.00188824,0.80940521
69,0.00188351,0.81128871
70,0.00185691,0.81314564
71,0.00181852,0.81496418
72,0.00177626,0.81674045
73,0.00174808,0.81848854
74,0.00171609,0.82020462
75,0.00166727,0.82187188
76,0.00163838,0.82351023
77,0.00161947,0.82512969
78,0.00159858,0.82672828
79,0.00157945,0.82830775
80,0.00154821,0.82985598
81,0.00152463,0.83138061
82,0.00149645,0.83287704
83,0.00145981,0.83433688
84,0.00144778,0.83578467
85,0.00143764,0.83722234
86,0.00140854,0.83863086
87,0.00139279,0.84002364
88,0.00139145,0.84141511
89,0.00135636,0.84277147
90,0.00134058,0.84411204
91,0.00131906,0.84543109
92,0.00131153,0.84674263
93,0.00128957,0.84803218
94,0.00128362,0.84931582
95,0.00125988,0.85057569
96,0.00125478,0.85183048
97,0.00122025,0.85305071
98,0.00119962,0.85425031
99,0.00118457,0.85543489
100,0.00116384,0.85659873
101,0.00115323,0.85775197
102,0.00114718,0.85889912
103,0.00112619,0.86002529
104,0.00111486,0.86114013
105,0.00111150,0.86225164
106,0.00109088,0.86334252
107,0.00108119,0.86442369
108,0.00106706,0.86549073
109,0.00105688,0.86654758
110,0.00104678,0.86759436
111,0.00103445,0.86862880
112,0.00102215,0.86965096
113,0.00101163,0.87066257
114,0.00099816,0.87166071
115,0.00098081,0.87264150
116,0.00097281,0.87361431
117,0.00095430,0.87456864
118,0.00094764,0.87551630
119,0.00094417,0.87646049
120,0.00093544,0.87739593
121,0.00092553,0.87832147
122,0.00091782,0.87923926
123,0.00090422,0.88014346
124,0.00089473,0.88103819
125,0.00088723,0.88192540
126,0.00088463,0.88281006
127,0.00087079,0.88368082
128,0.00085746,0.88453829
129,0.00085162,0.88538992
130,0.00083874,0.88622868
131,0.00083713,0.88706583
132,0.00083025,0.88789606
133,0.00082774,0.88872379
134,0.00080862,0.88953239
135,0.00080394,0.89033633
136,0.00079615,0.89113247
137,0.00079339,0.89192587
138,0.00077819,0.89270407
139,0.00077284,0.89347690
140,0.00076411,0.89424103
141,0.00075243,0.89499348
142,0.00075184,0.89574534
143,0.00074360,0.89648890
144,0.00074231,0.89723122
145,0.00073270,0.89796394
146,0.00072677,0.89869070
147,0.00071688,0.89940757
148,0.00070842,0.90011597
149,0.00070205,0.90081799
150,0.00069622,0.90151423
151,0.00069273,0.90220696
152,0.00068352,0.90289050
153,0.00067827,0.90356880
154,0.00067461,0.90424341
155,0.00067254,0.90491593
156,0.00066548,0.90558141
157,0.00065974,0.90624118
158,0.00065433,0.90689552
159,0.00065298,0.90754849
160,0.00064671,0.90819520
161,0.00063967,0.90883487
162,0.00063503,0.90946990
163,0.00063274,0.91010267
164,0.00062503,0.91072768
165,0.00061985,0.91134751
166,0.00061371,0.91196120
167,0.00060805,0.91256922
168,0.00060614,0.91317534
169,0.00059994,0.91377527
170,0.00059364,0.91436893
171,0.00059009,0.91495901
172,0.00058461,0.91554362
173,0.00058248,0.91612607
174,0.00057661,0.91670269
175,0.00056939,0.91727209
176,0.00056541,0.91783750
177,0.00056183,0.91839933
178,0.00055878,0.91895813
179,0.00055499,0.91951311
180,0.00055386,0.92006695
181,0.00054976,0.92061669
182,0.00054017,0.92115688
183,0.00053851,0.92169541
184,0.00053470,0.92223012
185,0.00053074,0.92276084
186,0.00052724,0.92328811
187,0.00052510,0.92381322
188,0.00052073,0.92433393
189,0.00051614,0.92485005
190,0.00051252,0.92536259
191,0.00050872,0.92587131
192,0.00050669,0.92637801
193,0.00050378,0.92688179
194,0.00049870,0.92738050
195,0.00049466,0.92787516
196,0.00048881,0.92836398
197,0.00048795,0.92885190
198,0.00048442,0.92933631
199,0.00048215,0.92981845
200,0.00048053,0.93029898
201,0.00047843,0.93077743
202,0.00047445,0.93125188
203,0.00047086,0.93172276
204,0.00046834,0.93219107
205,0.00046526,0.93265635
206,0.00046374,0.93312007
207,0.00045924,0.93357933
208,0.00045560,0.93403494
209,0.00045279,0.93448776
210,0.00045114,0.93493891
211,0.00044949,0.93538839
212,0.00044763,0.93583602
213,0.00044131,0.93627733
214,0.00043896,0.93671626
215,0.00043772,0.93715400
216,0.00043560,0.93758959
217,0.00043471,0.93802428
218,0.00043223,0.93845654
219,0.00042408,0.93888062
220,0.00042376,0.93930435
221,0.00042138,0.93972576
222,0.00041619,0.94014192
223,0.00041360,0.94055551
224,0.00041252,0.94096804
225,0.00040973,0.94137776
226,0.00040738,0.94178516
227,0.00040443,0.94218957
228,0.00040238,0.94259197
229,0.00039854,0.94299048
230,0.00039723,0.94338769
231,0.00039360,0.94378132
232,0.00039102,0.94417232
233,0.00038719,0.94455951
234,0.00038611,0.94494563
235,0.00038504,0.94533068
236,0.00038441,0.94571507
237,0.00038142,0.94609648
238,0.00038064,0.94647712
239,0.00037501,0.94685215
240,0.00037095,0.94722307
241,0.00036925,0.94759232
242,0.00036662,0.94795895
243,0.00036538,0.94832432
244,0.00036435,0.94868869
245,0.00036136,0.94905007
246,0.00035940,0.94940948
247,0.00035704,0.94976652
248,0.00035357,0.95012009
249,0.00035278,0.95047289
250,0.00035039,0.95082325
251,0.00034815,0.95117140
252,0.00034680,0.95151818
253,0.00034518,0.95186335
254,0.00034443,0.95220780
255,0.00034219,0.95254999
256,0.00034062,0.95289063
257,0.00033941,0.95323002
258,0.00033604,0.95356607
259,0.00033508,0.95390117
260,0.00033215,0.95423335
261,0.00032910,0.95456243
262,0.00032838,0.95489079
263,0.00032469,0.95521545
264,0.00032284,0.95553827
265,0.00032202,0.95586032
266,0.00032102,0.95618135
267,0.00031981,0.95650119
268,0.00031803,0.95681924
269,0.00031687,0.95713609
270,0.00031471,0.95745081
271,0.00031378,0.95776457
272,0.00031063,0.95807517
273,0.00031033,0.95838553
274,0.00030770,0.95869321
275,0.00030676,0.95899999
276,0.00030466,0.95930463
277,0.00030363,0.95960826
278,0.00029958,0.95990783
279,0.00029857,0.96020639
280,0.00029760,0.96050400
281,0.00029590,0.96079987
282,0.00029359,0.96109349
283,0.00029338,0.96138686
284,0.00029245,0.96167928
285,0.00029111,0.96197039
286,0.00028820,0.96225858
287,0.00028645,0.96254504
288,0.00028592,0.96283096
289,0.00028273,0.96311367
290,0.00028217,0.96339583
291,0.00028071,0.96367657
292,0.00027979,0.96395636
293,0.00027844,0.96423477
294,0.00027673,0.96451151
295,0.00027584,0.96478736
296,0.00027409,0.96506149
297,0.00027180,0.96533328
298,0.00027161,0.96560490
299,0.00026986,0.96587479
300,0.00026889,0.96614367
301,0.00026675,0.96641040
302,0.00026533,0.96667570
303,0.00026408,0.96693981
304,0.00026365,0.96720344
305,0.00026180,0.96746522
306,0.00025923,0.96772444
307,0.00025830,0.96798271
308,0.00025660,0.96823931
309,0.00025634,0.96849567
310,0.00025423,0.96874988
311,0.00025384,0.96900374
312,0.00025166,0.96925539
313,0.00025073,0.96950614
314,0.00024916,0.96975529
315,0.00024812,0.97000343
316,0.00024475,0.97024816
317,0.00024405,0.97049218
318,0.00024386,0.97073603
319,0.00024219,0.97097820
320,0.00024071,0.97121888
321,0.00023931,0.97145820
322,0.00023898,0.97169715
323,0.00023769,0.97193485
324,0.00023707,0.97217190
325,0.00023612,0.97240800
326,0.00023422,0.97264224
327,0.00023337,0.97287560
328,0.00023162,0.97310722
329,0.00023159,0.97333878
330,0.00023024,0.97356904
331,0.00022905,0.97379810
332,0.00022810,0.97402620
333,0.00022671,0.97425288
334,0.00022470,0.97447759
335,0.00022442,0.97470200
336,0.00022299,0.97492498
337,0.00022166,0.97514665
338,0.00022061,0.97536725
339,0.00021959,0.97558683
340,0.00021920,0.97580606
341,0.00021784,0.97602391
342,0.00021758,0.97624147
343,0.00021574,0.97645724
344,0.00021487,0.97667211
345,0.00021416,0.97688627
346,0.00021252,0.97709882
347,0.00021046,0.97730929
348,0.00020999,0.97751927
349,0.00020865,0.97772795
350,0.00020778,0.97793573
351,0.00020644,0.97814214
352,0.00020578,0.97834790
353,0.00020415,0.97855204
354,0.00020312,0.97875518
355,0.00020181,0.97895700
356,0.00020094,0.97915792
357,0.00019956,0.97935748
358,0.00019913,0.97955662
359,0.00019774,0.97975433
360,0.00019647,0.97995079
361,0.00019551,0.98014629
362,0.00019481,0.98034108
363,0.00019446,0.98053557
364,0.00019327,0.98072886
365,0.00019244,0.98092133
366,0.00019146,0.98111278
367,0.00019060,0.98130339
368,0.00018910,0.98149252
369,0.00018823,0.98168075
370,0.00018752,0.98186827
371,0.00018664,0.98205489
372,0.00018630,0.98224121
373,0.00018421,0.98242539
374,0.00018332,0.98260874
375,0.00018231,0.98279107
376,0.00018204,0.98297310
377,0.00018123,0.98315430
378,0.00018077,0.98333508
379,0.00018032,0.98351538
380,0.00017846,0.98369384
381,0.00017697,0.98387080
382,0.00017677,0.98404759
383,0.00017544,0.98422301
384,0.00017479,0.98439777
385,0.00017282,0.98457056
386,0.00017257,0.98474312
387,0.00017206,0.98491520
388,0.00017080,0.98508602
389,0.00016964,0.98525566
390,0.00016896,0.98542464
391,0.00016873,0.98559338
392,0.00016698,0.98576033
393,0.00016676,0.98592710
394,0.00016603,0.98609310
395,0.00016517,0.98625827
396,0.00016434,0.98642260
397,0.00016342,0.98658603
398,0.00016257,0.98674864
399,0.00016161,0.98691022
400,0.00016101,0.98707122
401,0.00016042,0.98723161
402,0.00016031,0.98739195
