feature,prop_0,prop_1,prop_diff,odds_ratio,p_value,p_adj,feature_label,region
q8trans_H_n_pep,0.4550687559961625,0.5040507383917411,0.048981982395578605,1.2170176700670996,4.845928344181332e-26,1.8414527707889062e-24,Q8 α-helix transition,transition (N→pep)
q8point_C_peptide,0.6323952670291014,0.5853432711448544,-0.04705199588424702,0.8205766651251393,2.953376867501172e-25,5.611416048252227e-24,Q8 coil present,peptide
q8point_H_nflank,0.5642388871122481,0.6108976436276098,0.046658756515361666,1.2125123580040096,1.921407227344055e-24,2.4337824879691362e-23,Q8 α-helix present,n_flank
q8trans_C_n_pep,0.24588263511352734,0.21656404796074255,-0.029318587152784792,0.8478054907791891,7.443922566075539e-14,7.071726437771762e-13,Q8 coil transition,transition (N→pep)
q8point_H_peptide,0.6155260633194756,0.6466367297810287,0.031110666461553138,1.1430295441544946,4.042248495666543e-12,3.0721088567065726e-11,Q8 α-helix present,peptide
q8point_G_peptide,0.06351934761752479,0.050275450210638395,-0.01324389740688639,0.7804663442781635,8.438389905962771e-10,5.344313607109754e-9,Q8 3₁₀-helix present,peptide
q8trans_C_pep_c,0.2671490246242405,0.24725707143187817,-0.01989195319236234,0.9010841155130049,9.885985426005256e-7,5.366677802688568e-6,Q8 coil transition,transition (pep→C)
q8point_S_peptide,0.1433482571154461,0.12832739225035877,-0.01502086486508733,0.8797905852140695,2.478342358103172e-6,1.1772126200990068e-5,Q8 bend present,peptide
q8trans_G_n_pep,0.021826031339942438,0.01675848340354613,-0.005067547936396306,0.7638693156409668,8.261494652726685e-5,3.488186631151267e-4,Q8 3₁₀-helix transition,transition (N→pep)
q8point_G_nflank,0.06100095938599297,0.0530530993935466,-0.00794785999244637,0.8624129139691068,2.3583008206625705e-4,8.961543118517767e-4,Q8 3₁₀-helix present,n_flank
q8point_C_nflank,0.7422849376399104,0.7280218508402388,-0.014263086799671587,0.9293523934395372,5.099730528866443e-4,0.0017292154311756753,Q8 coil present,n_flank
q8point_H_cflank,0.5468500159897666,0.562844312763298,0.01599429677353148,1.0668888552829803,5.460680308975817e-4,0.0017292154311756753,Q8 α-helix present,c_flank
q8point_T_cflank,0.24648225135913016,0.26008055182630435,0.013598300467174196,1.0745573289732964,7.627491770202418e-4,0.002070319194769228,Q8 turn present,c_flank
q8trans_H_pep_c,0.43312280140709947,0.44868293134577103,0.015560129938671563,1.0651532042973688,7.576169369224837e-4,0.002070319194769228,Q8 α-helix transition,transition (pep→C)
q8trans_T_pep_c,0.0177486408698433,0.02111013379010231,0.0033614929202590085,1.1934712667600957,0.009319674677791243,0.02360984251707115,Q8 turn transition,transition (pep→C)
q8point_I_nflank,0.0015590022385673168,7.870006018239897e-4,-7.720016367433271e-4,0.5044375780599929,0.02179362653311691,0.0487151651916731,Q8 π-helix present,n_flank
q8trans_E_n_pep,0.11028941477454429,0.10360631452247582,-0.006683100252068475,0.9323751237319519,0.02077967962780418,0.0487151651916731,Q8 β-strand transition,transition (N→pep)
q8point_B_nflank,0.003997441637352095,0.005370121753622517,0.0013726801162704224,1.3452263030743117,0.033792752181111406,0.07134025460456853,Q8 β-bridge present,n_flank
q8point_E_peptide,0.24696194435561242,0.24054441923985,-0.006417525115762407,0.9657743188587086,0.10952420962356564,0.21904841924713128,Q8 β-strand present,peptide
q8point_E_nflank,0.2196594179724976,0.21383269293088283,-0.005826725041614772,0.9662504464496442,0.1282609003109287,0.2428901960848936,Q8 β-strand present,n_flank
q8point_S_nflank,0.17548768787975697,0.1702236007592241,-0.005264087120532862,0.9638407002881003,0.13422879257323067,0.2428901960848936,Q8 bend present,n_flank
q8point_I_peptide,0.0015590022385673168,0.0010647655201148096,-4.942367184525072e-4,0.6826481182554153,0.16155304444853205,0.2790461676838281,Q8 π-helix present,peptide
q8trans_T_n_pep,0.027662296130476494,0.02573954909494931,-0.0019227470355271843,0.9286333167140004,0.20556264673298005,0.3396252424284018,Q8 turn transition,transition (N→pep)
q8point_G_cflank,0.04601055324592261,0.04828480162955419,0.0022742483836315774,1.0519635136784926,0.2541596254614234,0.3863226307013636,Q8 3₁₀-helix present,c_flank
q8trans_S_n_pep,0.003917492804605053,0.004629415304846998,7.119225002419453e-4,1.182567594228314,0.25340485652377015,0.3863226307013636,Q8 bend transition,transition (N→pep)
q8point_B_cflank,0.005276622961304765,0.005925651590204157,6.49028628899392e-4,1.1237301635953418,0.3503701436387986,0.4894066234477172,Q8 β-bridge present,c_flank
q8trans_I_n_pep,7.59513911096898e-4,5.092356835331698e-4,-2.502782275637282e-4,0.6703152867124474,0.3606154067509495,0.4894066234477172,Q8 π-helix transition,transition (N→pep)
q8trans_G_pep_c,0.007275343779980813,0.006527475579834267,-7.478682001465457e-4,0.8965494160887428,0.3416131384732766,0.4894066234477172,Q8 3₁₀-helix transition,transition (pep→C)
q8trans_S_pep_c,0.001479053405820275,0.0011573538262117495,-3.216995796085256e-4,0.78224938779102,0.3739013339483399,0.4899396789667902,Q8 bend transition,transition (pep→C)
q8point_T_nflank,0.23105212663895108,0.22781352715152076,-0.003238599487430327,0.9818455607706063,0.407572318179891,0.49960477712373735,Q8 turn present,n_flank
