feature,n,scaled,estimate,std_error,statistic,p_value,odds_ratio,conf_low,conf_high,p_adj
protein_length,46617,TRUE,-0.2140574153475218,0.0095546924631839,-22.403380974565838,3.64814925175751e-111,0.8073020321652797,0.7923242118184447,0.8225629880000827,2.0064820884666307e-109
PC5,46617,TRUE,-0.15760735576056345,0.00936395802106128,-16.831275343831663,1.4396738079295952e-63,0.8541851069941275,0.8386509303648855,0.8700070203142996,3.959102971806387e-62
PC2,46617,TRUE,0.12812452570888735,0.009332224683501176,13.729258569546014,6.7824021142176646e-43,1.1366945415778411,1.1160920753271562,1.1576773184005602,1.2434403876065719e-41
mean_plddt_nflank,46580,TRUE,0.12675715051887299,0.009419464156657632,13.456938570043992,2.802906361416903e-41,1.1351413158262489,1.1143764388112287,1.156293117853708,3.8539962469482416e-40
mean_plddt_peptide,46617,TRUE,0.12191665116296495,0.009433100514316981,12.924345603858173,3.280760229304329e-38,1.1296599420139077,1.1089656944880308,1.1507403618828884,3.608836252234762e-37
q8trans_H_n_pep,46617,TRUE,0.09811111111138762,0.009296600220292772,10.553439836772702,4.897072067948826e-26,1.1030853433380448,1.0831676685913758,1.123369271416324,4.48898272895309e-25
q8point_C_peptide,46617,TRUE,-0.09643142053786707,0.009286401010817638,-10.38415425152705,2.9275244585436046e-25,0.9080721705654374,0.8916935435110105,0.9247516402424675,2.3001977888556893e-24
mean_plddt_cflank,46494,TRUE,0.0967456575310961,0.009388127488327873,10.305106918432735,6.6817336751711365e-25,1.1015801593698993,1.0814956320931217,1.1220376777378667,4.593691901680156e-24
q8point_H_nflank,46617,TRUE,0.09492154063920878,0.009311328949639453,10.194199039964566,2.104722381978789e-24,1.099572579979832,1.0796871636600813,1.1198242410744759,1.2862192334314821e-23
q8trans_C_n_pep,46617,TRUE,-0.06972599684037707,0.009333049367933785,-7.470869818811801,7.966643996235042e-14,0.9326493337628188,0.9157436847549099,0.9498670798925933,4.381654197929273e-13
PC1,46617,TRUE,0.06615245831205217,0.009345629328704226,7.078438057549649,1.4578826214033904e-12,1.068389589623496,1.0489975824916855,1.0881400817955742,7.289413107016952e-12
q8point_H_peptide,46617,TRUE,0.0645473265886933,0.009306299264138385,6.935874804437568,4.03715017066804e-12,1.0666760591892162,1.0473958912335413,1.086311131035111,1.8503604948895183e-11
mean_rsa_cflank,46494,TRUE,0.06180423736158614,0.009309426970467717,6.63888739421316,3.1605972738773264e-11,1.0637540810380466,1.04452032458531,1.0833420071307371,1.3371757697173304e-10
