feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_n_terminus,0.00022902219705387325,9.7712961729497e-06,0.00022902219705387325,handcrafted
rel_distance_from_c_terminus,0.00023928450961558227,9.979801055445e-06,0.00023928450961558227,handcrafted
mean_rsa_peptide,0.0002722561468853537,1.4208260118055505e-05,0.0002722561468853537,handcrafted
mean_disorder_peptide,0.00027736229339065717,2.470363608470401e-05,0.00027736229339065717,handcrafted
mean_rsa_nflank,0.00025695022136231144,1.2403009958189522e-05,0.00025695022136231144,handcrafted
mean_disorder_nflank,0.00028150505013415484,2.275489361163597e-05,0.00028150505013415484,handcrafted
mean_rsa_cflank,0.0003431836409397182,2.6429727383877564e-05,0.0003431836409397182,handcrafted
mean_disorder_cflank,0.0002905567549365968,2.142605212256793e-05,0.0002905567549365968,handcrafted
q8point_H_peptide,2.7661718175690038e-05,3.897315859555291e-06,2.7661718175690038e-05,handcrafted
q8point_G_peptide,1.5043387114218063e-05,3.2759449881994856e-06,1.5043387114218063e-05,handcrafted
q8point_I_peptide,2.9650434614588324e-07,2.467019709783477e-07,2.9650434614588324e-07,handcrafted
q8point_E_peptide,1.366715182723501e-05,3.950228520402528e-06,1.366715182723501e-05,handcrafted
q8point_B_peptide,1.038083172231921e-06,5.11680093245491e-07,1.038083172231921e-06,handcrafted
q8point_T_peptide,1.381718239056889e-05,3.7352427677789506e-06,1.381718239056889e-05,handcrafted
q8point_S_peptide,1.0888001182532552e-05,9.25076484859001e-07,1.0888001182532552e-05,handcrafted
q8point_C_peptide,4.0609480529212406e-05,9.738304829484746e-06,4.0609480529212406e-05,handcrafted
q8point_H_nflank,0.0001163968723096737,2.0225474671097625e-05,0.0001163968723096737,handcrafted
q8point_G_nflank,1.1104751101958206e-05,1.9043257966697194e-06,1.1104751101958206e-05,handcrafted
q8point_I_nflank,2.627081845586038e-07,2.452041050138305e-07,2.627081845586038e-07,handcrafted
q8point_E_nflank,1.4672021296575791e-05,3.367834630156387e-06,1.4672021296575791e-05,handcrafted
q8point_B_nflank,1.3306480895658865e-06,3.447621906806868e-07,1.3306480895658865e-06,handcrafted
q8point_T_nflank,1.2401950570924392e-05,2.6189592041703575e-06,1.2401950570924392e-05,handcrafted
q8point_S_nflank,1.3507520832152337e-05,2.0316072449897984e-06,1.3507520832152337e-05,handcrafted
q8point_C_nflank,1.2565600597986772e-05,1.9475504336418056e-06,1.2565600597986772e-05,handcrafted
q8point_H_cflank,1.4737179207137494e-05,2.47815412438708e-06,1.4737179207137494e-05,handcrafted
q8point_G_cflank,9.309222771524777e-06,2.3243053305380226e-06,9.309222771524777e-06,handcrafted
q8point_I_cflank,2.8526951473914795e-07,3.234816135504549e-07,2.8526951473914795e-07,handcrafted
q8point_E_cflank,1.225762407210644e-05,2.5795897167506006e-06,1.225762407210644e-05,handcrafted
q8point_B_cflank,1.3212246513891082e-06,3.391324675962295e-07,1.3212246513891082e-06,handcrafted
q8point_T_cflank,1.3301472908755296e-05,3.4014360410868013e-06,1.3301472908755296e-05,handcrafted
q8point_S_cflank,1.0132895963889733e-05,2.961339158290154e-06,1.0132895963889733e-05,handcrafted
q8point_C_cflank,1.3857141852264042e-05,2.404070224405213e-06,1.3857141852264042e-05,handcrafted
q8trans_H_n_pep,5.423486614385462e-05,1.5847329638192572e-05,5.423486614385462e-05,handcrafted
q8trans_G_n_pep,8.024797591653129e-06,1.9526636983902672e-06,8.024797591653129e-06,handcrafted
q8trans_I_n_pep,3.2099033601489033e-07,3.650899971678605e-07,3.2099033601489033e-07,handcrafted
q8trans_E_n_pep,1.131761439518975e-05,1.3025692204055625e-06,1.131761439518975e-05,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,6.834983829879973e-06,1.9000580861040102e-06,6.834983829879973e-06,handcrafted
q8trans_S_n_pep,1.7871985084591606e-06,6.519535986961206e-07,1.7871985084591606e-06,handcrafted
q8trans_C_n_pep,3.832815602757113e-05,6.9964478159288326e-06,3.832815602757113e-05,handcrafted
q8trans_H_pep_c,1.7765417328305763e-05,3.31599517773244e-06,1.7765417328305763e-05,handcrafted
q8trans_G_pep_c,2.344910093769373e-06,9.802278846872509e-07,2.344910093769373e-06,handcrafted
q8trans_I_pep_c,8.194468155929168e-08,7.037083874430323e-08,8.194468155929168e-08,handcrafted
q8trans_E_pep_c,1.0534935853602877e-05,1.3495640505148757e-06,1.0534935853602877e-05,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,6.160403700920834e-06,1.0825098659304235e-06,6.160403700920834e-06,handcrafted
q8trans_S_pep_c,4.5545929979394826e-07,2.101151250806981e-07,4.5545929979394826e-07,handcrafted
q8trans_C_pep_c,2.3417018551456828e-05,1.1644390329308834e-06,2.3417018551456828e-05,handcrafted
mean_plddt_peptide,0.0006743163405345477,4.465761980372504e-05,0.0006743163405345477,handcrafted
mean_plddt_nflank,0.0006547528193001201,5.09324735474162e-05,0.0006547528193001201,handcrafted
mean_plddt_cflank,0.0004897580962608518,4.4933276210508314e-05,0.0004897580962608518,handcrafted
N10_A,5.298828286698041e-05,4.349585685222134e-06,5.298828286698041e-05,handcrafted
N10_C,4.673351321923156e-05,1.920794869983176e-06,4.673351321923156e-05,handcrafted
N10_D,5.992711570985708e-05,3.2380321821198973e-06,5.992711570985708e-05,handcrafted
N10_E,6.331214670614644e-05,2.710190469909554e-06,6.331214670614644e-05,handcrafted
N10_F,6.809584843406937e-05,3.7934127825313374e-06,6.809584843406937e-05,handcrafted
N10_G,4.900744014261954e-05,7.868200310515558e-06,4.900744014261954e-05,handcrafted
N10_H,6.633627830237264e-05,6.224124328615955e-06,6.633627830237264e-05,handcrafted
N10_I,5.684462804860206e-05,5.032105837700236e-06,5.684462804860206e-05,handcrafted
N10_K,7.020044168542243e-05,2.613172848737857e-06,7.020044168542243e-05,handcrafted
N10_L,5.893800618356936e-05,4.7294378202942105e-06,5.893800618356936e-05,handcrafted
N10_M,6.949881449693534e-05,4.091192706272852e-06,6.949881449693534e-05,handcrafted
N10_N,6.0322758393745464e-05,3.896992004916403e-06,6.0322758393745464e-05,handcrafted
N10_P,4.659965239395645e-05,4.812546051171088e-06,4.659965239395645e-05,handcrafted
N10_Q,7.150409770478723e-05,4.736689763539222e-06,7.150409770478723e-05,handcrafted
N10_R,6.093565788287268e-05,3.5923800131170633e-06,6.093565788287268e-05,handcrafted
N10_S,6.50899230694328e-05,3.836655243855119e-06,6.50899230694328e-05,handcrafted
N10_T,4.3168755888472194e-05,9.226336035340146e-07,4.3168755888472194e-05,handcrafted
N10_V,5.545498883600007e-05,4.3309044049922066e-06,5.545498883600007e-05,handcrafted
N10_W,6.22667052702538e-05,4.180072252606441e-06,6.22667052702538e-05,handcrafted
N10_Y,5.0257338781846425e-05,2.5570466364128435e-06,5.0257338781846425e-05,handcrafted
N9_A,5.41772776588788e-05,1.8840690877400725e-06,5.41772776588788e-05,handcrafted
N9_C,4.769486007196394e-05,2.419001052148685e-06,4.769486007196394e-05,handcrafted
N9_D,6.400804288395119e-05,6.961774097138102e-06,6.400804288395119e-05,handcrafted
N9_E,5.705894810792973e-05,4.217839494148997e-06,5.705894810792973e-05,handcrafted
N9_F,6.61585944767481e-05,4.623672430797281e-06,6.61585944767481e-05,handcrafted
N9_G,4.9170959372394513e-05,2.947016640842799e-06,4.9170959372394513e-05,handcrafted
N9_H,6.477124553776806e-05,3.652068658387752e-06,6.477124553776806e-05,handcrafted
N9_I,5.651344172512516e-05,5.0396636942866995e-06,5.651344172512516e-05,handcrafted
N9_K,7.30329207585067e-05,4.84701060279609e-06,7.30329207585067e-05,handcrafted
N9_L,5.649946696992367e-05,3.3251902345197105e-06,5.649946696992367e-05,handcrafted
N9_M,6.498931008116815e-05,3.7982194764422294e-06,6.498931008116815e-05,handcrafted
N9_N,6.450042874799321e-05,4.747773199923348e-06,6.450042874799321e-05,handcrafted
N9_P,4.779443538478591e-05,5.072001981102711e-06,4.779443538478591e-05,handcrafted
N9_Q,6.779244934406279e-05,6.19952788743193e-06,6.779244934406279e-05,handcrafted
N9_R,6.73870072117464e-05,8.065435005457755e-06,6.73870072117464e-05,handcrafted
N9_S,6.432906982502238e-05,4.638184871759375e-06,6.432906982502238e-05,handcrafted
N9_T,4.5679119603382e-05,4.541047226131255e-06,4.5679119603382e-05,handcrafted
N9_V,6.154224617140036e-05,5.5105787113365564e-06,6.154224617140036e-05,handcrafted
N9_W,6.43225349924467e-05,1.9624775599274594e-06,6.43225349924467e-05,handcrafted
N9_Y,5.017969964542418e-05,3.622007186410789e-06,5.017969964542418e-05,handcrafted
N8_A,4.9729668444100335e-05,3.8106214785617067e-06,4.9729668444100335e-05,handcrafted
N8_C,4.453828061941285e-05,2.8114776916546368e-06,4.453828061941285e-05,handcrafted
N8_D,6.132170728644479e-05,4.015820500127732e-06,6.132170728644479e-05,handcrafted
N8_E,5.924210809625063e-05,3.9853048106932745e-06,5.924210809625063e-05,handcrafted
N8_F,6.486327865743796e-05,4.059287544308319e-06,6.486327865743796e-05,handcrafted
N8_G,4.339379826418395e-05,2.261892832485791e-06,4.339379826418395e-05,handcrafted
N8_H,6.318544373313239e-05,4.2594587560945945e-06,6.318544373313239e-05,handcrafted
N8_I,5.448898622937739e-05,3.1089331377685086e-06,5.448898622937739e-05,handcrafted
N8_K,6.987346429717391e-05,1.948611891594683e-06,6.987346429717391e-05,handcrafted
N8_L,5.76892873805141e-05,4.6299428306304204e-06,5.76892873805141e-05,handcrafted
N8_M,7.337841218227337e-05,3.544791378960924e-06,7.337841218227337e-05,handcrafted
N8_N,6.203304759362363e-05,3.336894605710131e-06,6.203304759362363e-05,handcrafted
N8_P,4.0023709711044924e-05,3.358597188676871e-06,4.0023709711044924e-05,handcrafted
N8_Q,6.389763369736593e-05,5.581870826438303e-06,6.389763369736593e-05,handcrafted
N8_R,6.266474375421434e-05,1.849014084209307e-06,6.266474375421434e-05,handcrafted
N8_S,5.895745650898704e-05,2.4741614574695013e-06,5.895745650898704e-05,handcrafted
N8_T,4.7226743151682415e-05,8.67890017136061e-07,4.7226743151682415e-05,handcrafted
N8_V,5.6961928593021066e-05,3.664818314703637e-06,5.6961928593021066e-05,handcrafted
N8_W,6.397035734160726e-05,3.5725352618346498e-06,6.397035734160726e-05,handcrafted
N8_Y,5.390111192833503e-05,7.523565618189882e-06,5.390111192833503e-05,handcrafted
N7_A,5.260660636351429e-05,5.310369769833405e-06,5.260660636351429e-05,handcrafted
N7_C,4.827264401630202e-05,2.374455935948981e-06,4.827264401630202e-05,handcrafted
N7_D,6.30793165774238e-05,4.197461561704097e-06,6.30793165774238e-05,handcrafted
N7_E,6.0235928161630156e-05,3.0820392847970263e-06,6.0235928161630156e-05,handcrafted
N7_F,6.262556040677882e-05,3.64975342465848e-06,6.262556040677882e-05,handcrafted
N7_G,4.838576760232093e-05,3.382716045134101e-06,4.838576760232093e-05,handcrafted
N7_H,6.518823052204198e-05,3.8422962105658714e-06,6.518823052204198e-05,handcrafted
N7_I,5.6870085496043285e-05,3.044724322091152e-06,5.6870085496043285e-05,handcrafted
N7_K,6.512926583340174e-05,5.774780147961269e-06,6.512926583340174e-05,handcrafted
N7_L,6.530305953467977e-05,1.8503974158400976e-06,6.530305953467977e-05,handcrafted
N7_M,7.141523259928316e-05,5.530341822124251e-06,7.141523259928316e-05,handcrafted
N7_N,6.316907312287111e-05,4.804379645012091e-06,6.316907312287111e-05,handcrafted
N7_P,3.928520069180679e-05,3.077433946881232e-06,3.928520069180679e-05,handcrafted
N7_Q,6.430900986467816e-05,5.1846345880375075e-06,6.430900986467816e-05,handcrafted
N7_R,5.953882573255698e-05,2.5551441954444016e-06,5.953882573255698e-05,handcrafted
N7_S,6.469198762381061e-05,3.769124017398388e-06,6.469198762381061e-05,handcrafted
N7_T,4.6850295203714975e-05,6.079017842446912e-06,4.6850295203714975e-05,handcrafted
N7_V,5.7769755395323775e-05,3.925859695737627e-06,5.7769755395323775e-05,handcrafted
N7_W,6.297781057084039e-05,4.907973773010688e-06,6.297781057084039e-05,handcrafted
N7_Y,5.007868217301972e-05,2.201230649666286e-06,5.007868217301972e-05,handcrafted
N6_A,5.0049268100491475e-05,3.5678522769465723e-06,5.0049268100491475e-05,handcrafted
N6_C,5.1100474652424206e-05,3.2802602991371764e-06,5.1100474652424206e-05,handcrafted
N6_D,5.943515797614948e-05,3.8138185563558968e-06,5.943515797614948e-05,handcrafted
N6_E,6.446065946519105e-05,3.2467123252026707e-06,6.446065946519105e-05,handcrafted
N6_F,6.711175069126914e-05,3.3077605176287828e-06,6.711175069126914e-05,handcrafted
N6_G,4.74628997056125e-05,3.1830633342021726e-06,4.74628997056125e-05,handcrafted
N6_H,6.408980032438215e-05,4.663962989600518e-06,6.408980032438215e-05,handcrafted
N6_I,6.176672517975623e-05,4.320993994260475e-06,6.176672517975623e-05,handcrafted
N6_K,7.085981620949205e-05,8.540472806733436e-06,7.085981620949205e-05,handcrafted
N6_L,5.980172935788799e-05,6.097839656234168e-06,5.980172935788799e-05,handcrafted
N6_M,6.671329007769966e-05,6.835400766767481e-06,6.671329007769966e-05,handcrafted
N6_N,6.588215441969161e-05,4.322543660594165e-06,6.588215441969161e-05,handcrafted
N6_P,4.351869193910523e-05,2.2416054104030414e-06,4.351869193910523e-05,handcrafted
N6_Q,6.687908428840288e-05,4.9732657004951915e-06,6.687908428840288e-05,handcrafted
N6_R,6.959714463544657e-05,6.634056844314595e-06,6.959714463544657e-05,handcrafted
N6_S,5.999157683866317e-05,5.8389797404142e-06,5.999157683866317e-05,handcrafted
N6_T,4.866769725713826e-05,3.4669689415584098e-06,4.866769725713826e-05,handcrafted
N6_V,6.138882217336185e-05,4.4033612477877065e-06,6.138882217336185e-05,handcrafted
N6_W,6.559738666865023e-05,4.057268658428149e-06,6.559738666865023e-05,handcrafted
N6_Y,5.2879846191562404e-05,2.739733431309756e-06,5.2879846191562404e-05,handcrafted
N5_A,4.9334451608988086e-05,4.213293922564914e-06,4.9334451608988086e-05,handcrafted
N5_C,4.652315324733725e-05,2.8805301774535187e-06,4.652315324733725e-05,handcrafted
N5_D,5.7939046683943544e-05,3.207140268680823e-06,5.7939046683943544e-05,handcrafted
N5_E,6.18739498326352e-05,4.49433721348399e-06,6.18739498326352e-05,handcrafted
N5_F,6.234070198827079e-05,6.6611622916359044e-06,6.234070198827079e-05,handcrafted
N5_G,4.4097637662692046e-05,3.3005010967958384e-06,4.4097637662692046e-05,handcrafted
N5_H,6.316726836537806e-05,6.196163591856865e-06,6.316726836537806e-05,handcrafted
N5_I,5.397118295099149e-05,3.5091468230896704e-06,5.397118295099149e-05,handcrafted
N5_K,6.786879161760496e-05,5.108747899990863e-06,6.786879161760496e-05,handcrafted
N5_L,6.134470707531582e-05,5.435261004526366e-06,6.134470707531582e-05,handcrafted
N5_M,7.121969535879815e-05,2.7866780091535583e-06,7.121969535879815e-05,handcrafted
