feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_n_terminus,0.0002441797271887849,1.2512069810235498e-05,0.0002441797271887849,handcrafted
rel_distance_from_c_terminus,0.0002675854169843882,1.3796195467562178e-05,0.0002675854169843882,handcrafted
mean_rsa_peptide,0.0002943188010818276,1.0064083750006886e-05,0.0002943188010818276,handcrafted
mean_disorder_peptide,0.00028745238640655747,1.6112625781161354e-05,0.00028745238640655747,handcrafted
mean_rsa_nflank,0.0002780091981222212,1.226343184856354e-05,0.0002780091981222212,handcrafted
mean_disorder_nflank,0.00028783637416023554,1.7634364797501828e-05,0.00028783637416023554,handcrafted
mean_rsa_cflank,0.00041500102861490913,3.309921278669866e-05,0.00041500102861490913,handcrafted
mean_disorder_cflank,0.00032805817012880134,1.997655412690537e-05,0.00032805817012880134,handcrafted
q8point_H_peptide,4.2314940110604003e-05,6.462555785844133e-06,4.2314940110604003e-05,handcrafted
q8point_G_peptide,1.5380471452782357e-05,4.493221912567893e-06,1.5380471452782357e-05,handcrafted
q8point_I_peptide,2.0670675677838052e-07,5.979930248685707e-08,2.0670675677838052e-07,handcrafted
q8point_E_peptide,1.2321410162569737e-05,2.1762424754732204e-06,1.2321410162569737e-05,handcrafted
q8point_B_peptide,1.1651753671144663e-06,1.884040142211028e-07,1.1651753671144663e-06,handcrafted
q8point_T_peptide,1.555719991829511e-05,3.3186850419834073e-06,1.555719991829511e-05,handcrafted
q8point_S_peptide,1.4313504987961386e-05,2.103376032036409e-06,1.4313504987961386e-05,handcrafted
q8point_C_peptide,5.4953223823177915e-05,1.322583001466145e-05,5.4953223823177915e-05,handcrafted
q8point_H_nflank,0.0001745473944694341,3.679786602308173e-05,0.0001745473944694341,handcrafted
q8point_G_nflank,1.146223029068532e-05,1.3822759294526916e-06,1.146223029068532e-05,handcrafted
q8point_I_nflank,3.867087328522485e-07,1.3961762351025305e-07,3.867087328522485e-07,handcrafted
q8point_E_nflank,2.007744883906044e-05,6.14490583911215e-06,2.007744883906044e-05,handcrafted
q8point_B_nflank,1.3615381525494886e-06,2.6396668492209186e-07,1.3615381525494886e-06,handcrafted
q8point_T_nflank,1.0907765836096627e-05,2.140624110353676e-06,1.0907765836096627e-05,handcrafted
q8point_S_nflank,1.380989893447046e-05,1.792211518863289e-06,1.380989893447046e-05,handcrafted
q8point_C_nflank,1.2415184873277371e-05,1.8836165849149649e-06,1.2415184873277371e-05,handcrafted
q8point_H_cflank,1.5532582812711055e-05,2.3662977758077685e-06,1.5532582812711055e-05,handcrafted
q8point_G_cflank,1.0351797948380643e-05,2.629716803507023e-06,1.0351797948380643e-05,handcrafted
q8point_I_cflank,6.851544955182683e-08,4.896065665391967e-08,6.851544955182683e-08,handcrafted
q8point_E_cflank,1.2262722973866824e-05,2.871800369611192e-06,1.2262722973866824e-05,handcrafted
q8point_B_cflank,1.4400412868716778e-06,3.737730289302479e-07,1.4400412868716778e-06,handcrafted
q8point_T_cflank,1.2659411813962297e-05,3.791062092248181e-06,1.2659411813962297e-05,handcrafted
q8point_S_cflank,1.21532132867098e-05,1.8895195842915724e-06,1.21532132867098e-05,handcrafted
q8point_C_cflank,1.3659401331784853e-05,1.6752931763622742e-06,1.3659401331784853e-05,handcrafted
q8trans_H_n_pep,8.574180894376946e-05,1.2144107916923029e-05,8.574180894376946e-05,handcrafted
q8trans_G_n_pep,8.933748888249725e-06,1.1701497265036655e-06,8.933748888249725e-06,handcrafted
q8trans_I_n_pep,2.0337917967932452e-07,6.201654212173515e-08,2.0337917967932452e-07,handcrafted
q8trans_E_n_pep,1.4323763773114634e-05,2.2495706524776142e-06,1.4323763773114634e-05,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,7.643281807542824e-06,5.444179722972548e-07,7.643281807542824e-06,handcrafted
q8trans_S_n_pep,1.5210722843274292e-06,6.060290805716666e-07,1.5210722843274292e-06,handcrafted
q8trans_C_n_pep,6.010414904918162e-05,1.1495565550124277e-05,6.010414904918162e-05,handcrafted
q8trans_H_pep_c,1.731713272702214e-05,2.2906525407869852e-06,1.731713272702214e-05,handcrafted
q8trans_G_pep_c,2.515753782205453e-06,1.3117778859226664e-06,2.515753782205453e-06,handcrafted
q8trans_I_pep_c,3.8852936337127137e-08,4.758605582991497e-08,3.8852936337127137e-08,handcrafted
q8trans_E_pep_c,9.699570179240582e-06,1.7156809210058145e-06,9.699570179240582e-06,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,5.886024331997309e-06,1.0047128730532901e-06,5.886024331997309e-06,handcrafted
q8trans_S_pep_c,3.956694882942433e-07,1.4629283099602426e-07,3.956694882942433e-07,handcrafted
q8trans_C_pep_c,1.9559096702972548e-05,4.465472447019098e-06,1.9559096702972548e-05,handcrafted
mean_plddt_peptide,0.0007100265803449338,6.932104833737137e-05,0.0007100265803449338,handcrafted
mean_plddt_nflank,0.0006930520398333616,5.798718043159269e-05,0.0006930520398333616,handcrafted
mean_plddt_cflank,0.0005121312578577937,3.241699740093613e-05,0.0005121312578577937,handcrafted
N10_A,1.162665891658288e-05,2.0199171009916974e-06,1.162665891658288e-05,handcrafted
N10_C,7.402116968411566e-06,1.358961448168815e-06,7.402116968411566e-06,handcrafted
N10_D,1.1661060353914023e-05,1.214828365498528e-06,1.1661060353914023e-05,handcrafted
N10_E,1.3525600369315653e-05,3.200040085835862e-06,1.3525600369315653e-05,handcrafted
N10_F,1.1406316383096568e-05,9.879099565966115e-07,1.1406316383096568e-05,handcrafted
N10_G,1.0561635718903232e-05,1.6937509557822166e-06,1.0561635718903232e-05,handcrafted
N10_H,8.813337196737883e-06,1.4741935831003824e-06,8.813337196737883e-06,handcrafted
N10_I,1.0441954736937343e-05,2.717611272876392e-06,1.0441954736937343e-05,handcrafted
N10_K,1.2624895540982703e-05,2.378458762480068e-06,1.2624895540982703e-05,handcrafted
N10_L,1.537800310814984e-05,1.7377668793058517e-06,1.537800310814984e-05,handcrafted
N10_M,1.0648949076746741e-05,5.886325226096035e-07,1.0648949076746741e-05,handcrafted
N10_N,1.0434923071554311e-05,1.6607498630852344e-06,1.0434923071554311e-05,handcrafted
N10_P,1.3301111559203895e-05,2.1590915128371277e-06,1.3301111559203895e-05,handcrafted
N10_Q,1.5140252858563861e-05,1.7291215894712878e-06,1.5140252858563861e-05,handcrafted
N10_R,1.1904765231795976e-05,9.418136808107754e-07,1.1904765231795976e-05,handcrafted
N10_S,1.3809658298563304e-05,1.4628957300810744e-06,1.3809658298563304e-05,handcrafted
N10_T,1.2265637965941422e-05,1.2111963071073356e-06,1.2265637965941422e-05,handcrafted
N10_V,1.1107272856906329e-05,2.4171590864428974e-06,1.1107272856906329e-05,handcrafted
N10_W,6.58311848553784e-06,8.245410437390027e-07,6.58311848553784e-06,handcrafted
N10_Y,8.652503525815316e-06,1.0905823437407026e-06,8.652503525815316e-06,handcrafted
N9_A,1.1583586336168658e-05,1.452390295509373e-06,1.1583586336168658e-05,handcrafted
N9_C,7.3180915544791334e-06,1.4432568294152763e-06,7.3180915544791334e-06,handcrafted
N9_D,1.2545465173180472e-05,1.7182478111334388e-06,1.2545465173180472e-05,handcrafted
N9_E,1.3720735867911476e-05,1.7196902698738606e-06,1.3720735867911476e-05,handcrafted
N9_F,1.0267149313805001e-05,9.372275544095352e-07,1.0267149313805001e-05,handcrafted
N9_G,1.0846749910811861e-05,1.717706211277628e-06,1.0846749910811861e-05,handcrafted
N9_H,8.764127551283683e-06,9.298357328403213e-07,8.764127551283683e-06,handcrafted
N9_I,1.0296517491021852e-05,8.806730286412876e-07,1.0296517491021852e-05,handcrafted
N9_K,1.1597121421860116e-05,2.0434414780088804e-06,1.1597121421860116e-05,handcrafted
N9_L,1.3827260876033098e-05,2.6750312934873554e-06,1.3827260876033098e-05,handcrafted
N9_M,7.843726367166667e-06,1.4440491513250986e-06,7.843726367166667e-06,handcrafted
N9_N,1.119436336468301e-05,2.15093347736199e-06,1.119436336468301e-05,handcrafted
N9_P,1.3135757962775639e-05,2.4104585638082352e-06,1.3135757962775639e-05,handcrafted
N9_Q,1.3013588788447311e-05,2.1930891714230735e-06,1.3013588788447311e-05,handcrafted
N9_R,1.1890316430160633e-05,2.0766224988767793e-06,1.1890316430160633e-05,handcrafted
N9_S,1.5189444478828197e-05,1.6603260101469853e-06,1.5189444478828197e-05,handcrafted
N9_T,1.0831194680140007e-05,1.1261274513329414e-06,1.0831194680140007e-05,handcrafted
N9_V,1.216584480259668e-05,2.257596039399854e-06,1.216584480259668e-05,handcrafted
N9_W,6.186752598114654e-06,6.35913948671287e-07,6.186752598114654e-06,handcrafted
N9_Y,9.073745623452696e-06,1.284368499585241e-06,9.073745623452696e-06,handcrafted
N8_A,1.226423256171937e-05,2.3295994997922224e-06,1.226423256171937e-05,handcrafted
N8_C,7.96563995166005e-06,9.74852669234551e-07,7.96563995166005e-06,handcrafted
N8_D,1.337849447712945e-05,7.292711803024524e-07,1.337849447712945e-05,handcrafted
N8_E,1.3927408646809529e-05,2.4023096559666626e-06,1.3927408646809529e-05,handcrafted
N8_F,9.123690137293275e-06,1.2414076158803193e-06,9.123690137293275e-06,handcrafted
N8_G,1.0885786723638436e-05,1.2346580037179456e-06,1.0885786723638436e-05,handcrafted
N8_H,1.0347867091310978e-05,2.172951676136647e-06,1.0347867091310978e-05,handcrafted
N8_I,1.1094004955500609e-05,2.234634768734977e-06,1.1094004955500609e-05,handcrafted
N8_K,1.2755016610101099e-05,2.6838146130293903e-06,1.2755016610101099e-05,handcrafted
N8_L,1.5568698937127434e-05,1.2728023588469078e-06,1.5568698937127434e-05,handcrafted
N8_M,1.1735410422486892e-05,3.0426727522699417e-06,1.1735410422486892e-05,handcrafted
N8_N,1.0815937584826948e-05,1.6947550424427334e-06,1.0815937584826948e-05,handcrafted
N8_P,1.299762471546756e-05,1.2521773078309779e-06,1.299762471546756e-05,handcrafted
N8_Q,1.2557455412489856e-05,2.1832709213573266e-06,1.2557455412489856e-05,handcrafted
N8_R,1.2213903518699118e-05,1.1800226791529478e-06,1.2213903518699118e-05,handcrafted
N8_S,1.2218350297925189e-05,6.235725856231855e-07,1.2218350297925189e-05,handcrafted
N8_T,1.205844690219443e-05,1.5472094566125918e-06,1.205844690219443e-05,handcrafted
N8_V,1.1771228943765834e-05,2.9917353072905716e-06,1.1771228943765834e-05,handcrafted
N8_W,5.321259627992589e-06,4.1246023871496187e-07,5.321259627992589e-06,handcrafted
N8_Y,8.597037032788717e-06,4.850236832625811e-07,8.597037032788717e-06,handcrafted
N7_A,1.3431815314237728e-05,2.25132850710629e-06,1.3431815314237728e-05,handcrafted
N7_C,9.000147413520635e-06,4.800539393121029e-07,9.000147413520635e-06,handcrafted
N7_D,1.3150191091899685e-05,1.4125819339762237e-06,1.3150191091899685e-05,handcrafted
N7_E,1.3387867296530803e-05,2.1165592436931997e-06,1.3387867296530803e-05,handcrafted
N7_F,9.710912024042634e-06,1.4444108882278546e-06,9.710912024042634e-06,handcrafted
N7_G,1.2491648722682733e-05,2.619745710510719e-06,1.2491648722682733e-05,handcrafted
N7_H,9.300534928081606e-06,1.5294485561574042e-06,9.300534928081606e-06,handcrafted
N7_I,1.07762793718581e-05,1.3979086432107601e-06,1.07762793718581e-05,handcrafted
N7_K,1.3668677251430262e-05,2.7133814525410916e-06,1.3668677251430262e-05,handcrafted
N7_L,1.5013295687072168e-05,1.760840619158446e-06,1.5013295687072168e-05,handcrafted
N7_M,8.365082611256017e-06,8.41298616924391e-07,8.365082611256017e-06,handcrafted
N7_N,1.3776247651325005e-05,9.96185278471388e-07,1.3776247651325005e-05,handcrafted
N7_P,1.2155016051945292e-05,2.256449795177535e-06,1.2155016051945292e-05,handcrafted
N7_Q,1.2129797916373943e-05,1.1154459244428283e-06,1.2129797916373943e-05,handcrafted
N7_R,1.1336544240063585e-05,2.591389734728435e-06,1.1336544240063585e-05,handcrafted
N7_S,1.419232634504799e-05,1.7161292414832654e-06,1.419232634504799e-05,handcrafted
N7_T,1.0440140522404446e-05,5.013873770498854e-07,1.0440140522404446e-05,handcrafted
N7_V,1.0033177812789114e-05,1.7847477216337977e-06,1.0033177812789114e-05,handcrafted
N7_W,5.30662763718669e-06,1.2347473233373038e-06,5.30662763718669e-06,handcrafted
N7_Y,9.633940363383555e-06,1.1720416269727839e-06,9.633940363383555e-06,handcrafted
