feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_n_terminus,0.026370483809036498,9.492822305352682e-05,0.026370483809036498,handcrafted
rel_distance_from_c_terminus,0.02698956537997092,0.00011157245005964692,0.02698956537997092,handcrafted
mean_rsa_peptide,0.02724082299418517,0.00017567493209830965,0.02724082299418517,handcrafted
mean_disorder_peptide,0.026429855174145568,0.00015303265946579832,0.026429855174145568,handcrafted
mean_rsa_nflank,0.0267229159558543,4.637275877244715e-05,0.0267229159558543,handcrafted
mean_disorder_nflank,0.02640340347456994,0.0001000054998532355,0.02640340347456994,handcrafted
mean_rsa_cflank,0.02824161752212695,0.0001831353318920556,0.02824161752212695,handcrafted
mean_disorder_cflank,0.026915298747454554,0.00016946126100349864,0.026915298747454554,handcrafted
q8point_H_peptide,0.002713879337950286,5.6130229275755966e-05,0.002713879337950286,handcrafted
q8point_G_peptide,0.0016536468818403316,2.1843458136320138e-05,0.0016536468818403316,handcrafted
q8point_I_peptide,5.1771820644560935e-05,5.085327163803361e-06,5.1771820644560935e-05,handcrafted
q8point_E_peptide,0.0026784899123729914,2.4536392231973894e-05,0.0026784899123729914,handcrafted
q8point_B_peptide,0.0002531988138915164,1.0765737806227803e-05,0.0002531988138915164,handcrafted
q8point_T_peptide,0.0030105575349721877,3.4168044024127004e-05,0.0030105575349721877,handcrafted
q8point_S_peptide,0.0025926054076177473,1.8204641280839273e-05,0.0025926054076177473,handcrafted
q8point_C_peptide,0.003510245670065143,2.986960433726539e-05,0.003510245670065143,handcrafted
q8point_H_nflank,0.0031717429800977915,3.473531394158567e-05,0.0031717429800977915,handcrafted
q8point_G_nflank,0.0017491215265504026,2.6734231196481642e-05,0.0017491215265504026,handcrafted
q8point_I_nflank,4.628818283568164e-05,6.604982745556959e-06,4.628818283568164e-05,handcrafted
q8point_E_nflank,0.0028734876838484866,2.2017023865881313e-05,0.0028734876838484866,handcrafted
q8point_B_nflank,0.00026903232000063124,2.28992717014226e-05,0.00026903232000063124,handcrafted
q8point_T_nflank,0.003375466486859359,1.963485964970489e-05,0.003375466486859359,handcrafted
q8point_S_nflank,0.0030044985116956147,2.5764678438620305e-05,0.0030044985116956147,handcrafted
q8point_C_nflank,0.003451566114929627,3.07051880621655e-05,0.003451566114929627,handcrafted
q8point_H_cflank,0.0033241306806772617,2.0876044089144673e-05,0.0033241306806772617,handcrafted
q8point_G_cflank,0.0016058508101157707,2.504051195814336e-05,0.0016058508101157707,handcrafted
q8point_I_cflank,2.8477077706898382e-05,2.7312162474011637e-06,2.8477077706898382e-05,handcrafted
q8point_E_cflank,0.0029747517139813114,1.3582938274510323e-05,0.0029747517139813114,handcrafted
q8point_B_cflank,0.00034045529649174764,1.6894604359622607e-05,0.00034045529649174764,handcrafted
q8point_T_cflank,0.0034870494696597255,2.590340241452061e-05,0.0034870494696597255,handcrafted
q8point_S_cflank,0.0031012179684462233,2.7235011734615157e-05,0.0031012179684462233,handcrafted
