feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_n_terminus,-9.44040898000274,0.38846761989440637,9.44040898000274,handcrafted
rel_distance_from_c_terminus,-9.417761698324052,0.3826311812405822,9.417761698324052,handcrafted
mean_rsa_peptide,-0.08700138023214814,0.010762448257074928,0.08700138023214814,handcrafted
mean_disorder_peptide,0.13555930434158708,0.009895941543975915,0.13555930434158708,handcrafted
mean_rsa_nflank,-0.015337896399593081,0.008075271490110262,0.015337896399593081,handcrafted
mean_disorder_nflank,-0.0358802020248326,0.0076877499740035955,0.0358802020248326,handcrafted
mean_rsa_cflank,0.03300621726379164,0.014522839008686231,0.03300621726379164,handcrafted
mean_disorder_cflank,0.018653723763712445,0.01947486024658128,0.018653723763712445,handcrafted
q8point_H_peptide,0.009144137259473367,0.014670964609551371,0.009144137259473367,handcrafted
q8point_G_peptide,0.029933278347165315,0.008330045711147097,0.029933278347165315,handcrafted
q8point_I_peptide,0.018175706132158288,0.011858305972149617,0.018175706132158288,handcrafted
q8point_E_peptide,0.013912008153378012,0.009415399551089212,0.013912008153378012,handcrafted
q8point_B_peptide,-0.0068240091422691485,0.005469011374425619,0.0068240091422691485,handcrafted
q8point_T_peptide,0.04123247730824802,0.0031420040463740417,0.04123247730824802,handcrafted
q8point_S_peptide,0.00784224046116515,0.0034692303047757188,0.00784224046116515,handcrafted
q8point_C_peptide,-0.06049168564146803,0.013895900933688487,0.06049168564146803,handcrafted
q8point_H_nflank,0.012917471800060748,0.014231976896017387,0.012917471800060748,handcrafted
q8point_G_nflank,0.006491103300017441,0.004374748171889542,0.006491103300017441,handcrafted
q8point_I_nflank,-0.14221682340087502,0.1857577178901358,0.14221682340087502,handcrafted
q8point_E_nflank,-0.03340468466677093,0.007782873527620372,0.03340468466677093,handcrafted
q8point_B_nflank,0.006140855464057484,0.004367657870783471,0.006140855464057484,handcrafted
q8point_T_nflank,0.025726319496608797,0.009128069019183739,0.025726319496608797,handcrafted
q8point_S_nflank,0.0015466760786303018,0.007107633282403687,0.0015466760786303018,handcrafted
q8point_C_nflank,0.0391062401700061,0.007830449934285657,0.0391062401700061,handcrafted
q8point_H_cflank,-0.008794085230683046,0.010523740776417087,0.008794085230683046,handcrafted
q8point_G_cflank,0.020042095167950302,0.004185675087608376,0.020042095167950302,handcrafted
q8point_I_cflank,0.0007354380865238694,0.007586485592185378,0.0007354380865238694,handcrafted
q8point_E_cflank,0.012755601736915635,0.01004441702677237,0.012755601736915635,handcrafted
q8point_B_cflank,0.010133750172362016,0.004330556400609993,0.010133750172362016,handcrafted
q8point_T_cflank,0.025307496339057056,0.005851312614679908,0.025307496339057056,handcrafted
q8point_S_cflank,-0.0025322179808426933,0.006537787569831658,0.0025322179808426933,handcrafted
q8point_C_cflank,0.03185001553908469,0.009128613500860689,0.03185001553908469,handcrafted
q8trans_H_n_pep,0.08801147654035893,0.008065325450402382,0.08801147654035893,handcrafted
q8trans_G_n_pep,-0.00867598627181285,0.009343504624627682,0.00867598627181285,handcrafted
q8trans_I_n_pep,0.11125566026827301,0.152271781697181,0.11125566026827301,handcrafted
q8trans_E_n_pep,0.04000626426068164,0.01000698341767476,0.04000626426068164,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,0.005115693882219864,0.0066828173358568265,0.005115693882219864,handcrafted
q8trans_S_n_pep,0.008296650874445838,0.003966564609735993,0.008296650874445838,handcrafted
q8trans_C_n_pep,0.04319645320349848,0.0077916398218386895,0.04319645320349848,handcrafted
q8trans_H_pep_c,0.039424976982517554,0.020211340724270995,0.039424976982517554,handcrafted
q8trans_G_pep_c,-0.015591608145182526,0.004808613020747293,0.015591608145182526,handcrafted
q8trans_I_pep_c,-0.025743475953196676,0.011574731454005472,0.025743475953196676,handcrafted
q8trans_E_pep_c,0.010272501703181417,0.00539046196940788,0.010272501703181417,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,-0.011815450537089787,0.005938479118752271,0.011815450537089787,handcrafted
