feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_c_terminus,0.005809194304382935,5.2099956051248094e-05,0.005809194304382935,handcrafted
mean_rsa_peptide,0.005654931267697426,7.68777042847795e-05,0.005654931267697426,handcrafted
mean_disorder_peptide,0.005495958664039172,1.7697589058052133e-05,0.005495958664039172,handcrafted
mean_rsa_nflank,0.005458922816484872,8.304063102430044e-05,0.005458922816484872,handcrafted
mean_disorder_nflank,0.005505811616912463,9.273186029521524e-05,0.005505811616912463,handcrafted
mean_rsa_cflank,0.005811860906209151,6.02161248637647e-05,0.005811860906209151,handcrafted
mean_disorder_cflank,0.0055136992698893205,4.436998666332342e-05,0.0055136992698893205,handcrafted
q8point_H_peptide,0.0004209367152391533,1.8188816600032395e-05,0.0004209367152391533,handcrafted
q8point_G_peptide,0.0002956963497279497,5.131898166461683e-06,0.0002956963497279497,handcrafted
q8point_I_peptide,9.058317849208605e-06,6.132785480879089e-07,9.058317849208605e-06,handcrafted
q8point_E_peptide,0.0003850986855208906,1.5106520200990181e-05,0.0003850986855208906,handcrafted
q8point_B_peptide,4.509720565918808e-05,2.5309045987738274e-06,4.509720565918808e-05,handcrafted
q8point_T_peptide,0.00041417564959242035,2.499448630489687e-05,0.00041417564959242035,handcrafted
q8point_S_peptide,0.00039792796281291236,1.2909279709391738e-05,0.00039792796281291236,handcrafted
q8point_C_peptide,0.0006210027719367658,3.827748402071692e-05,0.0006210027719367658,handcrafted
q8point_H_nflank,0.0005352468389233502,2.258081964680792e-05,0.0005352468389233502,handcrafted
q8point_G_nflank,0.0002959872886860134,6.659289439579907e-06,0.0002959872886860134,handcrafted
q8point_I_nflank,7.115057074270151e-06,8.591694685204248e-07,7.115057074270151e-06,handcrafted
q8point_E_nflank,0.0004166754803814806,2.2396943797778845e-05,0.0004166754803814806,handcrafted
q8point_B_nflank,4.5362589514946004e-05,4.320439088876479e-06,4.5362589514946004e-05,handcrafted
q8point_T_nflank,0.0004353824340505547,1.0148547543540483e-05,0.0004353824340505547,handcrafted
q8point_S_nflank,0.0004239611275762083,9.629961267790772e-06,0.0004239611275762083,handcrafted
q8point_C_nflank,0.00044129361811350037,2.3253775935604722e-05,0.00044129361811350037,handcrafted
q8point_H_cflank,0.00042276989634860827,2.104140808163719e-05,0.00042276989634860827,handcrafted
q8point_G_cflank,0.0002672917827539285,9.215331183927952e-06,0.0002672917827539285,handcrafted
q8point_I_cflank,5.1460603711412005e-06,6.211909649504494e-07,5.1460603711412005e-06,handcrafted
q8point_E_cflank,0.0004091312375114935,1.3256131769940845e-05,0.0004091312375114935,handcrafted
q8point_B_cflank,5.632331853260742e-05,5.730472812817625e-06,5.632331853260742e-05,handcrafted
q8point_T_cflank,0.0004559021909949258,4.162169858922031e-06,0.0004559021909949258,handcrafted
q8point_S_cflank,0.0004159134674506707,1.902205239311369e-05,0.0004159134674506707,handcrafted
q8point_C_cflank,0.0004172150891004189,1.2381540603710866e-05,0.0004172150891004189,handcrafted
q8trans_H_n_pep,0.0006675727654164611,3.479747072025193e-05,0.0006675727654164611,handcrafted
q8trans_G_n_pep,0.0001533311215189274,1.2148480316243357e-05,0.0001533311215189274,handcrafted
q8trans_I_n_pep,4.665507562712359e-06,1.835777479261115e-07,4.665507562712359e-06,handcrafted
q8trans_E_n_pep,0.0003236044864004713,1.3659058318566311e-05,0.0003236044864004713,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,0.00018443082363368385,5.321858949986482e-06,0.00018443082363368385,handcrafted
q8trans_S_n_pep,4.38361784794045e-05,3.836708347326165e-06,4.38361784794045e-05,handcrafted
q8trans_C_n_pep,0.0003845277658426396,1.7485003822684746e-05,0.0003845277658426396,handcrafted
q8trans_H_pep_c,0.00044792167446519577,7.260018088054986e-06,0.00044792167446519577,handcrafted
q8trans_G_pep_c,6.088255654195752e-05,2.6633479740438807e-06,6.088255654195752e-05,handcrafted
q8trans_I_pep_c,1.7247640517877588e-06,2.647022565981385e-07,1.7247640517877588e-06,handcrafted
q8trans_E_pep_c,0.00034319658277793603,1.3459940816759342e-05,0.00034319658277793603,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,0.0001555000756254672,9.158518272687127e-06,0.0001555000756254672,handcrafted
q8trans_S_pep_c,1.3499052098608084e-05,2.8472146278806934e-06,1.3499052098608084e-05,handcrafted
q8trans_C_pep_c,0.00039074587632859613,6.0442400489310435e-06,0.00039074587632859613,handcrafted
mean_plddt_peptide,0.009265803200085378,0.00013110732033199988,0.009265803200085378,handcrafted
mean_plddt_nflank,0.008737634099490178,0.00016159579477707843,0.008737634099490178,handcrafted
mean_plddt_cflank,0.008048962428250598,0.00022358726163703484,0.008048962428250598,handcrafted
N10_A,0.0015229554076210958,2.7621785349303034e-05,0.0015229554076210958,aa_encoding
N10_C,0.0013872630820870406,1.6744897776286392e-05,0.0013872630820870406,aa_encoding
N10_D,0.0016494852796211257,1.500204298535589e-05,0.0016494852796211257,aa_encoding
N10_E,0.0016859718673933135,1.9940182452348364e-05,0.0016859718673933135,aa_encoding
N10_F,0.0017103393556040726,1.1456998443174506e-05,0.0017103393556040726,aa_encoding
N10_G,0.0013885766113705734,2.3661114900414696e-05,0.0013885766113705734,aa_encoding
N10_H,0.0018007626471942505,2.51409835840381e-05,0.0018007626471942505,aa_encoding
N10_I,0.0015619186965590188,1.0367407629623841e-05,0.0015619186965590188,aa_encoding
N10_K,0.0018073169486646265,1.511478825345226e-05,0.0018073169486646265,aa_encoding
N10_L,0.0016307906201617091,1.1726273538810752e-05,0.0016307906201617091,aa_encoding
N10_M,0.0018204019030616243,1.2057921645009473e-05,0.0018204019030616243,aa_encoding
N10_N,0.0017410397962256702,2.9714489942387988e-05,0.0017410397962256702,aa_encoding
N10_P,0.001246786863867895,1.0546609588558614e-05,0.001246786863867895,aa_encoding
N10_Q,0.0017807473799057252,2.1779654182814554e-05,0.0017807473799057252,aa_encoding
N10_R,0.00178856813864576,1.1555446040845515e-05,0.00178856813864576,aa_encoding
N10_S,0.00169629370198849,2.4135420723429018e-05,0.00169629370198849,aa_encoding
N10_T,0.001322360619837717,2.2821071174417116e-05,0.001322360619837717,aa_encoding
N10_V,0.001666015305405891,2.5818555238548568e-05,0.001666015305405891,aa_encoding
N10_W,0.001626511498329674,7.355421728407198e-06,0.001626511498329674,aa_encoding
N10_Y,0.0014005323880645145,1.9625875362065785e-05,0.0014005323880645145,aa_encoding
N9_A,0.0014834888536600177,1.0250420315310872e-05,0.0014834888536600177,aa_encoding
N9_C,0.0013519484605169691,1.4115442363036273e-05,0.0013519484605169691,aa_encoding
N9_D,0.0016630923642551975,2.9861728070270344e-05,0.0016630923642551975,aa_encoding
N9_E,0.0017294293240336842,2.7073133486435426e-05,0.0017294293240336842,aa_encoding
N9_F,0.001764289143305833,3.117859594477375e-05,0.001764289143305833,aa_encoding
N9_G,0.0013548171844302167,2.4199839473535655e-05,0.0013548171844302167,aa_encoding
N9_H,0.0018063461787730145,2.0623478269742358e-05,0.0018063461787730145,aa_encoding
N9_I,0.001549838027405652,1.5024421512713189e-05,0.001549838027405652,aa_encoding
N9_K,0.0018569029924587553,2.5246764354083294e-05,0.0018569029924587553,aa_encoding
N9_L,0.0016178842787280291,9.844192264579704e-06,0.0016178842787280291,aa_encoding
N9_M,0.0017821265618948663,1.0065212322149236e-05,0.0017821265618948663,aa_encoding
N9_N,0.0017550597587066698,8.831112241738782e-06,0.0017550597587066698,aa_encoding
N9_P,0.0012145025047622393,1.6937805332351164e-05,0.0012145025047622393,aa_encoding
N9_Q,0.0018343699228046142,9.526903683019476e-06,0.0018343699228046142,aa_encoding
N9_R,0.001814552493066906,1.989834714672008e-05,0.001814552493066906,aa_encoding
N9_S,0.001658071962851267,2.0966781881427088e-05,0.001658071962851267,aa_encoding
N9_T,0.001312052560673334,1.697417771773816e-05,0.001312052560673334,aa_encoding
N9_V,0.0016745928239425567,1.8190662848947382e-05,0.0016745928239425567,aa_encoding
N9_W,0.0016171328193140776,2.0812017515472376e-05,0.0016171328193140776,aa_encoding
N9_Y,0.0013727775097206198,2.4072903971485024e-05,0.0013727775097206198,aa_encoding
N8_A,0.0014693765615772082,2.1027351745489696e-05,0.0014693765615772082,aa_encoding
N8_C,0.001362109047359957,1.8685602876696957e-05,0.001362109047359957,aa_encoding
N8_D,0.0016355017687316564,2.0384415743997554e-05,0.0016355017687316564,aa_encoding
N8_E,0.0016906464178775762,1.2258435561234622e-05,0.0016906464178775762,aa_encoding
N8_F,0.0017340541095448594,2.098289677737357e-05,0.0017340541095448594,aa_encoding
N8_G,0.0013824180458190654,5.829851590716767e-06,0.0013824180458190654,aa_encoding
N8_H,0.0017657584695508492,1.740415631296674e-05,0.0017657584695508492,aa_encoding
N8_I,0.0015319605140724471,1.4751640071344832e-05,0.0015319605140724471,aa_encoding
N8_K,0.0018276859101923654,1.2266934555787542e-05,0.0018276859101923654,aa_encoding
N8_L,0.0016121347478281936,1.93932359821631e-05,0.0016121347478281936,aa_encoding
N8_M,0.0017910063941781102,2.8259419635309437e-05,0.0017910063941781102,aa_encoding
N8_N,0.0017303240919213318,1.1095873242801777e-05,0.0017303240919213318,aa_encoding
N8_P,0.0012156416238007462,1.3549259256961409e-05,0.0012156416238007462,aa_encoding
N8_Q,0.0017916390172723275,1.2502088525749346e-05,0.0017916390172723275,aa_encoding
N8_R,0.0017515962509893652,1.7332849681612602e-05,0.0017515962509893652,aa_encoding
N8_S,0.001678600200153885,1.3676530801490646e-05,0.001678600200153885,aa_encoding
N8_T,0.0013364796081141155,2.2663728685321958e-05,0.0013364796081141155,aa_encoding
N8_V,0.0016433177858679086,2.6031133333605382e-05,0.0016433177858679086,aa_encoding
N8_W,0.0016200328796239186,2.528208229233988e-05,0.0016200328796239186,aa_encoding
N8_Y,0.0013854476029181747,1.0725804948457415e-05,0.0013854476029181747,aa_encoding
N7_A,0.001517760592190857,1.676254371945841e-05,0.001517760592190857,aa_encoding
N7_C,0.0013874596429507794,2.7007764496583227e-05,0.0013874596429507794,aa_encoding
N7_D,0.0016068522031830418,1.9021287378010863e-05,0.0016068522031830418,aa_encoding
N7_E,0.0016705445736683647,2.0374198456720995e-05,0.0016705445736683647,aa_encoding
N7_F,0.0017423660467261169,1.3713077358656118e-05,0.0017423660467261169,aa_encoding
N7_G,0.0013746606249760312,2.280492313451028e-05,0.0013746606249760312,aa_encoding
N7_H,0.00177571095450941,2.956817992194268e-05,0.00177571095450941,aa_encoding
N7_I,0.0015217609680341904,1.9589917225142316e-05,0.0015217609680341904,aa_encoding
N7_K,0.0018200023353550383,2.438935359034521e-05,0.0018200023353550383,aa_encoding
N7_L,0.0016333847094648641,7.0049855759759e-06,0.0016333847094648641,aa_encoding
N7_M,0.001811288552155414,1.8871416454144816e-05,0.001811288552155414,aa_encoding
N7_N,0.0017206719636946026,1.8079660893065064e-05,0.0017206719636946026,aa_encoding
N7_P,0.0012153694602234665,2.8895683413943967e-05,0.0012153694602234665,aa_encoding
N7_Q,0.0017684828650304338,1.7059454830599037e-05,0.0017684828650304338,aa_encoding
N7_R,0.0017629350575856025,2.855104224519445e-05,0.0017629350575856025,aa_encoding
N7_S,0.0016887846521935492,1.8355025374052184e-05,0.0016887846521935492,aa_encoding
N7_T,0.0013223775670080785,1.4595741736621596e-05,0.0013223775670080785,aa_encoding
N7_V,0.0016839047899981142,1.2362630530119556e-05,0.0016839047899981142,aa_encoding
N7_W,0.0016188056409501613,3.1480652631334978e-06,0.0016188056409501613,aa_encoding
N7_Y,0.0013923335148818424,2.1324365686509893e-05,0.0013923335148818424,aa_encoding
N6_A,0.0014948468185979678,2.5100741111934757e-05,0.0014948468185979678,aa_encoding
N6_C,0.0013411137330886034,1.455546888349568e-05,0.0013411137330886034,aa_encoding
N6_D,0.0016181932521163224,2.8326469010998857e-05,0.0016181932521163224,aa_encoding
N6_E,0.0016565425902955347,2.0506084427480903e-05,0.0016565425902955347,aa_encoding
N6_F,0.001790902389999499,1.5263938948970437e-05,0.001790902389999499,aa_encoding
N6_G,0.0013242084037826292,1.1682017476923747e-05,0.0013242084037826292,aa_encoding
N6_H,0.0018042860005267499,3.209525815997369e-05,0.0018042860005267499,aa_encoding
N6_I,0.0015515772220473483,3.14569806744282e-05,0.0015515772220473483,aa_encoding
N6_K,0.0018172076663556512,2.5229006631957108e-05,0.0018172076663556512,aa_encoding
N6_L,0.0016049124173260463,1.7158377010040998e-05,0.0016049124173260463,aa_encoding
N6_M,0.0018309089905971325,2.3842090716011393e-05,0.0018309089905971325,aa_encoding
N6_N,0.0017222230594953329,2.2485628922283683e-05,0.0017222230594953329,aa_encoding
