feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_n_terminus,0.00031411949902551375,7.396833136876112e-06,0.00031411949902551375,handcrafted
rel_distance_from_c_terminus,0.0003492283042403991,9.084575296291125e-06,0.0003492283042403991,handcrafted
mean_rsa_peptide,0.00035913117342266387,9.124302558580709e-06,0.00035913117342266387,handcrafted
mean_disorder_peptide,0.00034114755952000507,9.00158031363155e-06,0.00034114755952000507,handcrafted
mean_rsa_nflank,0.0003084895020526561,7.0385149528788836e-06,0.0003084895020526561,handcrafted
mean_disorder_nflank,0.00033404065176898933,1.3051511214833004e-05,0.00033404065176898933,handcrafted
mean_rsa_cflank,0.00041151049176693454,3.233081189083739e-05,0.00041151049176693454,handcrafted
mean_disorder_cflank,0.00034914171602777984,1.6708936183395847e-05,0.00034914171602777984,handcrafted
q8point_H_peptide,2.475578735850028e-05,4.004165016999351e-06,2.475578735850028e-05,handcrafted
q8point_G_peptide,1.4624553748304983e-05,2.4556002276027392e-06,1.4624553748304983e-05,handcrafted
q8point_I_peptide,3.517353880549945e-07,2.140440679984673e-07,3.517353880549945e-07,handcrafted
q8point_E_peptide,1.8721231471061708e-05,2.3877994647112273e-06,1.8721231471061708e-05,handcrafted
q8point_B_peptide,1.863347057412487e-06,5.185763842873725e-07,1.863347057412487e-06,handcrafted
q8point_T_peptide,1.568161197658648e-05,3.0071436593286116e-06,1.568161197658648e-05,handcrafted
q8point_S_peptide,1.8650005538561162e-05,1.6246399458331726e-06,1.8650005538561162e-05,handcrafted
q8point_C_peptide,9.623307683719943e-05,2.3413329426954212e-05,9.623307683719943e-05,handcrafted
q8point_H_nflank,7.896963054378797e-05,1.6001120803790133e-05,7.896963054378797e-05,handcrafted
q8point_G_nflank,1.4660539263542394e-05,2.274230795778763e-06,1.4660539263542394e-05,handcrafted
q8point_I_nflank,8.962039014692709e-07,4.888216264635905e-07,8.962039014692709e-07,handcrafted
q8point_E_nflank,1.849114788821186e-05,3.6747326393787945e-06,1.849114788821186e-05,handcrafted
