feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_n_terminus,-6.789091511301085,0.6770471407302286,6.789091511301085,handcrafted
rel_distance_from_c_terminus,-6.753839289262335,0.6695220762341202,6.753839289262335,handcrafted
mean_rsa_peptide,-0.05138029173331802,0.01944742184655035,0.05138029173331802,handcrafted
mean_disorder_peptide,0.12935096886086428,0.020705060361849954,0.12935096886086428,handcrafted
mean_rsa_nflank,-0.00011437298175989777,0.0145383410361543,0.00011437298175989777,handcrafted
mean_disorder_nflank,-0.04197327798292762,0.01911829844332798,0.04197327798292762,handcrafted
mean_rsa_cflank,0.08261753430549172,0.020912164642386676,0.08261753430549172,handcrafted
mean_disorder_cflank,0.0029257678906968246,0.025451405806310803,0.0029257678906968246,handcrafted
q8point_H_peptide,0.03418314153944162,0.01986195433958494,0.03418314153944162,handcrafted
q8point_G_peptide,0.019148942607215863,0.008554494783033795,0.019148942607215863,handcrafted
q8point_I_peptide,0.027203805439610866,0.010848119718955652,0.027203805439610866,handcrafted
q8point_E_peptide,-0.007861955629531492,0.01444991132959952,0.007861955629531492,handcrafted
q8point_B_peptide,-0.011590876580942466,0.005441558232312104,0.011590876580942466,handcrafted
q8point_T_peptide,-0.005498839597652004,0.005052912135352305,0.005498839597652004,handcrafted
q8point_S_peptide,-0.009990043220579507,0.0061041502874808196,0.009990043220579507,handcrafted
q8point_C_peptide,-0.06799359856808238,0.014922222544310585,0.06799359856808238,handcrafted
q8point_H_nflank,0.012431482523701909,0.02445799649041126,0.012431482523701909,handcrafted
q8point_G_nflank,-0.005618968630629753,0.010581561734942386,0.005618968630629753,handcrafted
q8point_I_nflank,-0.11048432361376992,0.1580565224415068,0.11048432361376992,handcrafted
q8point_E_nflank,-0.03891269636485233,0.005326989235893492,0.03891269636485233,handcrafted
q8point_B_nflank,0.0020978121109056927,0.006073321789922466,0.0020978121109056927,handcrafted
q8point_T_nflank,-0.010062921995436154,0.01098651488651322,0.010062921995436154,handcrafted
q8point_S_nflank,-0.021303235378831727,0.008006057766829899,0.021303235378831727,handcrafted
q8point_C_nflank,0.031013482727564,0.008792249657907506,0.031013482727564,handcrafted
q8point_H_cflank,-0.015867903588448827,0.011711753098223966,0.015867903588448827,handcrafted
q8point_G_cflank,-0.0023742716237239807,0.004937401287523811,0.0023742716237239807,handcrafted
q8point_I_cflank,-0.005799141773351205,0.009466004694453951,0.005799141773351205,handcrafted
q8point_E_cflank,-0.018536941033391662,0.014283768096538134,0.018536941033391662,handcrafted
q8point_B_cflank,0.007588753682207039,0.0028096272015935347,0.007588753682207039,handcrafted
q8point_T_cflank,-0.019613123451877913,0.010107874985468387,0.019613123451877913,handcrafted
q8point_S_cflank,-0.028679268347971236,0.006308769889442342,0.028679268347971236,handcrafted
q8point_C_cflank,0.0010128923979809503,0.010035485506953488,0.0010128923979809503,handcrafted
q8trans_H_n_pep,0.023732377329545352,0.019462332302642542,0.023732377329545352,handcrafted
q8trans_G_n_pep,-0.016320447444634522,0.011834508267814894,0.016320447444634522,handcrafted
q8trans_I_n_pep,0.07516500234065242,0.1292127508271384,0.07516500234065242,handcrafted
q8trans_E_n_pep,-0.004619329464351474,0.012029198178786055,0.004619329464351474,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,0.008709097134103594,0.006021007800754364,0.008709097134103594,handcrafted
q8trans_S_n_pep,0.002763246227245798,0.004218607082504353,0.002763246227245798,handcrafted
q8trans_C_n_pep,0.020494114097938693,0.011459332085299341,0.020494114097938693,handcrafted
q8trans_H_pep_c,-0.01026546994763083,0.02438951147740164,0.01026546994763083,handcrafted
q8trans_G_pep_c,-0.006981763588620196,0.004350134984871259,0.006981763588620196,handcrafted
q8trans_I_pep_c,-0.02289153929943718,0.011550420941380753,0.02289153929943718,handcrafted
q8trans_E_pep_c,0.023187530224422385,0.012544235586360114,0.023187530224422385,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,-0.00537770565761146,0.008146167914722289,0.00537770565761146,handcrafted
q8trans_S_pep_c,0.001296285162521198,0.004452373672331001,0.001296285162521198,handcrafted
q8trans_C_pep_c,0.014974111485630196,0.009972115961787072,0.014974111485630196,handcrafted
mean_plddt_peptide,0.03886230710266277,0.0371196191939964,0.03886230710266277,handcrafted
mean_plddt_nflank,0.00901934701638823,0.03192960689648342,0.00901934701638823,handcrafted
mean_plddt_cflank,0.24566684293030994,0.019979417663907047,0.24566684293030994,handcrafted
N10_A,0.03517387322892563,0.015120324906049617,0.03517387322892563,handcrafted
N10_C,-0.0697270782959178,0.051571082877714634,0.0697270782959178,handcrafted
N10_D,-0.02642032157410721,0.07293498507286439,0.02642032157410721,handcrafted
N10_E,-0.12537355704178074,0.06704964123500456,0.12537355704178074,handcrafted
N10_F,0.14009274323555598,0.06784216851125875,0.14009274323555598,handcrafted
N10_G,-0.08278198255733,0.06115937553160624,0.08278198255733,handcrafted
N10_H,-0.017265256079925014,0.04083395101909856,0.017265256079925014,handcrafted
N10_I,-0.23345056007301862,0.20684802750865566,0.23345056007301862,handcrafted
N10_K,0.028425617562151617,0.04919789577225467,0.028425617562151617,handcrafted
N10_L,-0.11840218198830135,0.07284490884335329,0.11840218198830135,handcrafted
N10_M,-0.002709071470155473,0.042142150625674626,0.002709071470155473,handcrafted
N10_N,0.0007156528240212127,0.012690672774017633,0.0007156528240212127,handcrafted
N10_P,-0.05655584679289204,0.06980815697908263,0.05655584679289204,handcrafted
N10_Q,0.13681857884942722,0.04725249967816881,0.13681857884942722,handcrafted
N10_R,-0.1060224802383017,0.10319632677931513,0.1060224802383017,handcrafted
N10_S,-0.07977866290929457,0.05212452807306696,0.07977866290929457,handcrafted
N10_T,0.0296109746865357,0.03744329178265181,0.0296109746865357,handcrafted
N10_V,0.10763583685766442,0.13077671786869577,0.10763583685766442,handcrafted
N10_W,-0.08349453104840947,0.06678837249634934,0.08349453104840947,handcrafted
N10_Y,-0.06725030777411091,0.044243277046722325,0.06725030777411091,handcrafted
N9_A,-0.034150335272617086,0.018415636623176863,0.034150335272617086,handcrafted
N9_C,0.1353688944545872,0.05868748126787569,0.1353688944545872,handcrafted
N9_D,-0.006932045108606619,0.07940777980368247,0.006932045108606619,handcrafted
N9_E,0.28122414243208194,0.02748024833650898,0.28122414243208194,handcrafted
N9_F,-0.10839677301921728,0.05970259094222371,0.10839677301921728,handcrafted
N9_G,0.1550980531263993,0.07647446374044105,0.1550980531263993,handcrafted
N9_H,0.08579973350942754,0.03682218642094258,0.08579973350942754,handcrafted
N9_I,0.9564458456097921,0.15819528992850193,0.9564458456097921,handcrafted
N9_K,-0.17843629256082724,0.049129569054903816,0.17843629256082724,handcrafted
N9_L,0.14513677358750574,0.07170495561224029,0.14513677358750574,handcrafted
N9_M,-0.17180011790487965,0.04302892627181213,0.17180011790487965,handcrafted
