feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_n_terminus,0.0009920148116266646,3.9938293748570244e-05,0.0009920148116266646,handcrafted
rel_distance_from_c_terminus,0.0010375003651147872,3.2463419821424936e-05,0.0010375003651147872,handcrafted
mean_rsa_peptide,0.0010789324010226629,3.238059035440095e-05,0.0010789324010226629,handcrafted
mean_disorder_peptide,0.001049326939051106,4.000911083234818e-05,0.001049326939051106,handcrafted
mean_rsa_nflank,0.0010570319966650811,2.8257052735775037e-05,0.0010570319966650811,handcrafted
mean_disorder_nflank,0.0010651267047063948,3.818077933466687e-05,0.0010651267047063948,handcrafted
mean_rsa_cflank,0.0011889257508830892,2.0346283580608622e-05,0.0011889257508830892,handcrafted
mean_disorder_cflank,0.0011219542190170945,5.7774773675220446e-05,0.0011219542190170945,handcrafted
q8point_H_peptide,9.57726733775528e-05,8.52653379725199e-06,9.57726733775528e-05,handcrafted
q8point_G_peptide,5.180106302701334e-05,5.820556196164833e-06,5.180106302701334e-05,handcrafted
q8point_I_peptide,1.5228648556992492e-06,5.937763951917359e-07,1.5228648556992492e-06,handcrafted
q8point_E_peptide,6.97660837894021e-05,7.720371976700465e-06,6.97660837894021e-05,handcrafted
q8point_B_peptide,4.607011784525196e-06,5.328305429073867e-07,4.607011784525196e-06,handcrafted
q8point_T_peptide,7.32442094699128e-05,9.78736138633841e-06,7.32442094699128e-05,handcrafted
q8point_S_peptide,5.892152347492829e-05,3.566087368707476e-06,5.892152347492829e-05,handcrafted
q8point_C_peptide,0.00015763789925443014,2.4146299505617243e-05,0.00015763789925443014,handcrafted
q8point_H_nflank,0.00020508414571131017,1.8188514626983585e-05,0.00020508414571131017,handcrafted
q8point_G_nflank,4.3146588129616944e-05,3.85216142049972e-06,4.3146588129616944e-05,handcrafted
q8point_I_nflank,1.3825137299624378e-06,4.959396094430357e-07,1.3825137299624378e-06,handcrafted
q8point_E_nflank,8.279257278679041e-05,1.2727145101554873e-05,8.279257278679041e-05,handcrafted
q8point_B_nflank,7.168810156497222e-06,1.4258632446418922e-06,7.168810156497222e-06,handcrafted
q8point_T_nflank,6.899877514342334e-05,6.600584692049062e-06,6.899877514342334e-05,handcrafted
q8point_S_nflank,6.284498256662951e-05,6.947584453735517e-06,6.284498256662951e-05,handcrafted
q8point_C_nflank,8.36439099193564e-05,1.0592034399489779e-05,8.36439099193564e-05,handcrafted
q8point_H_cflank,7.936739182776335e-05,6.347710040806274e-06,7.936739182776335e-05,handcrafted
q8point_G_cflank,4.387516593282246e-05,3.9807667810084065e-06,4.387516593282246e-05,handcrafted
q8point_I_cflank,5.339555949653817e-07,1.8107593927528797e-07,5.339555949653817e-07,handcrafted
q8point_E_cflank,7.180116113611096e-05,7.607554884463198e-06,7.180116113611096e-05,handcrafted
q8point_B_cflank,8.564516605087906e-06,2.0012834751971445e-06,8.564516605087906e-06,handcrafted
q8point_T_cflank,7.095294070431239e-05,6.457682142661794e-06,7.095294070431239e-05,handcrafted
q8point_S_cflank,6.760855884939195e-05,3.696614009456525e-06,6.760855884939195e-05,handcrafted
q8point_C_cflank,8.133277607591038e-05,6.251423323047202e-06,8.133277607591038e-05,handcrafted
q8trans_H_n_pep,0.0001602941410119622,1.439649514405454e-05,0.0001602941410119622,handcrafted
q8trans_G_n_pep,2.705267830086142e-05,2.529435384949574e-06,2.705267830086142e-05,handcrafted
q8trans_I_n_pep,1.1230832855060875e-06,1.822926720644157e-07,1.1230832855060875e-06,handcrafted
q8trans_E_n_pep,5.535148186476752e-05,1.455998068132888e-06,5.535148186476752e-05,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,3.383998923912039e-05,4.024731979368334e-06,3.383998923912039e-05,handcrafted
q8trans_S_n_pep,6.378483169224331e-06,1.5246691246214272e-06,6.378483169224331e-06,handcrafted
q8trans_C_n_pep,9.782858157769076e-05,8.408080259231163e-06,9.782858157769076e-05,handcrafted
q8trans_H_pep_c,9.890451675131459e-05,2.981076678983462e-06,9.890451675131459e-05,handcrafted
q8trans_G_pep_c,1.2647323376603132e-05,1.8242888671781715e-06,1.2647323376603132e-05,handcrafted
q8trans_I_pep_c,2.6397481939385646e-07,2.059970664824924e-07,2.6397481939385646e-07,handcrafted
q8trans_E_pep_c,5.3500516765279656e-05,3.0083367517913745e-06,5.3500516765279656e-05,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,2.1641527869775656e-05,3.6807835986711194e-06,2.1641527869775656e-05,handcrafted
q8trans_S_pep_c,2.774339421099139e-06,1.0621084941114256e-06,2.774339421099139e-06,handcrafted
q8trans_C_pep_c,8.6870975678613e-05,1.1807354386052266e-05,8.6870975678613e-05,handcrafted
mean_plddt_peptide,0.0012420317989496287,7.148948232319235e-05,0.0012420317989496287,handcrafted
mean_plddt_nflank,0.0012423512021937926,6.186623563305745e-05,0.0012423512021937926,handcrafted
mean_plddt_cflank,0.0010107126973898978,4.941735833108265e-05,0.0010107126973898978,handcrafted
N10_A,0.00028268814330426886,1.1902802990271422e-05,0.00028268814330426886,handcrafted
N10_C,0.0002536546999766302,1.124668931272009e-05,0.0002536546999766302,handcrafted
N10_D,0.00031793245767787367,1.1144080693865927e-05,0.00031793245767787367,handcrafted
N10_E,0.0003152818963360473,6.954563337274919e-06,0.0003152818963360473,handcrafted
N10_F,0.000347673241996355,1.2855708948598806e-05,0.000347673241996355,handcrafted
N10_G,0.00025898975025617457,9.593394379399819e-06,0.00025898975025617457,handcrafted
N10_H,0.00033645768132375975,1.8165052182915493e-05,0.00033645768132375975,handcrafted
N10_I,0.0002968534987433222,7.16628321030854e-06,0.0002968534987433222,handcrafted
N10_K,0.000351733804798678,1.3339144439139848e-05,0.000351733804798678,handcrafted
N10_L,0.0003146925838095237,1.5781749348474094e-05,0.0003146925838095237,handcrafted
N10_M,0.00035982204753228766,1.062888886301099e-05,0.00035982204753228766,handcrafted
N10_N,0.00034176045469017097,1.2726031502246048e-05,0.00034176045469017097,handcrafted
N10_P,0.0002485164669337867,1.2860187958367865e-05,0.0002485164669337867,handcrafted
N10_Q,0.0003490653590437588,1.370638796399983e-05,0.0003490653590437588,handcrafted
N10_R,0.000331187049331352,2.150497280234575e-05,0.000331187049331352,handcrafted
N10_S,0.00033975422371482027,7.5643317583225755e-06,0.00033975422371482027,handcrafted
N10_T,0.00023842345131565887,8.904245281318952e-06,0.00023842345131565887,handcrafted
N10_V,0.00031690819584343475,9.530582451994068e-06,0.00031690819584343475,handcrafted
N10_W,0.0003205650123772738,1.0445406053757366e-05,0.0003205650123772738,handcrafted
