feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_c_terminus,0.03498734424353989,0.0009878353234266074,0.03498734424353989,handcrafted
mean_rsa_peptide,0.0135137268521804,9.91796146580567e-05,0.0135137268521804,handcrafted
mean_disorder_peptide,0.013422582793213397,0.00012307570330238375,0.013422582793213397,handcrafted
mean_rsa_nflank,0.013740790731622609,0.00017928868277150993,0.013740790731622609,handcrafted
mean_disorder_nflank,0.013633924276899443,4.0838975525603085e-05,0.013633924276899443,handcrafted
mean_rsa_cflank,0.014421241505682506,0.0001191305575712631,0.014421241505682506,handcrafted
mean_disorder_cflank,0.013872976997110811,7.937791875568675e-05,0.013872976997110811,handcrafted
q8point_H_peptide,0.0008792943057714355,2.646817296680952e-05,0.0008792943057714355,handcrafted
q8point_G_peptide,0.0008226885018185169,3.764961902040105e-05,0.0008226885018185169,handcrafted
q8point_I_peptide,1.1854334957043481e-05,6.014744425144106e-07,1.1854334957043481e-05,handcrafted
q8point_E_peptide,0.0008635216973293988,2.505712838271778e-05,0.0008635216973293988,handcrafted
q8point_B_peptide,7.898058535846188e-05,7.558335989731032e-06,7.898058535846188e-05,handcrafted
q8point_T_peptide,0.001200271776174382,3.4578310942715796e-05,0.001200271776174382,handcrafted
q8point_S_peptide,0.0010865068685913526,1.8304951778129766e-05,0.0010865068685913526,handcrafted
q8point_C_peptide,0.0013651611274727883,4.9332627854007264e-05,0.0013651611274727883,handcrafted
q8point_H_nflank,0.0014921161238034388,5.9376417417450006e-05,0.0014921161238034388,handcrafted
q8point_G_nflank,0.0007503937398584707,2.6010519555585962e-05,0.0007503937398584707,handcrafted
q8point_I_nflank,1.1990188694809188e-05,2.5572363215091847e-06,1.1990188694809188e-05,handcrafted
q8point_E_nflank,0.0010653954723433632,4.8323743350900214e-05,0.0010653954723433632,handcrafted
q8point_B_nflank,0.00010130171503532192,1.5018367930918125e-05,0.00010130171503532192,handcrafted
q8point_T_nflank,0.0013827023179221567,2.499808747594882e-05,0.0013827023179221567,handcrafted
q8point_S_nflank,0.0012507042795748308,3.351794361063954e-05,0.0012507042795748308,handcrafted
q8point_C_nflank,0.001376253006859666,2.1138794444153342e-05,0.001376253006859666,handcrafted
q8point_H_cflank,0.001132291425013076,3.391320973620711e-05,0.001132291425013076,handcrafted
q8point_G_cflank,0.0006742835563418264,4.814734612442098e-06,0.0006742835563418264,handcrafted
q8point_I_cflank,9.841883490205002e-06,1.2704125759199143e-06,9.841883490205002e-06,handcrafted
q8point_E_cflank,0.0010014616456100619,2.8593610800469216e-05,0.0010014616456100619,handcrafted
