feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_c_terminus,0.02031446793026042,0.00010770028036799282,0.02031446793026042,handcrafted
mean_rsa_peptide,0.01979736438394552,0.00023613070930015396,0.01979736438394552,handcrafted
mean_disorder_peptide,0.019195411013855752,0.0001302693336433867,0.019195411013855752,handcrafted
mean_rsa_nflank,0.019546557325607644,0.00020854181001669035,0.019546557325607644,handcrafted
mean_disorder_nflank,0.019223703495919026,0.00017431019706622234,0.019223703495919026,handcrafted
mean_rsa_cflank,0.02051755396269907,0.00016408340462017312,0.02051755396269907,handcrafted
mean_disorder_cflank,0.019451003681701225,0.0001453354809329264,0.019451003681701225,handcrafted
q8point_H_peptide,0.0019098130391368544,4.712464668873101e-05,0.0019098130391368544,handcrafted
q8point_G_peptide,0.001239654885939838,2.0718520216262856e-05,0.001239654885939838,handcrafted
q8point_I_peptide,3.7871367601602496e-05,2.8391526591808896e-06,3.7871367601602496e-05,handcrafted
q8point_E_peptide,0.001874085276271856,1.8863550924779245e-05,0.001874085276271856,handcrafted
q8point_B_peptide,0.00017846590123647308,9.704932874983598e-06,0.00017846590123647308,handcrafted
q8point_T_peptide,0.002041699229257974,2.561608515211527e-05,0.002041699229257974,handcrafted
q8point_S_peptide,0.0018298447364581524,2.7666237576567905e-05,0.0018298447364581524,handcrafted
q8point_C_peptide,0.0024352634482565664,3.6487461944730275e-05,0.0024352634482565664,handcrafted
q8point_H_nflank,0.0022376910782856974,3.900233982371045e-05,0.0022376910782856974,handcrafted
q8point_G_nflank,0.0012612515548379023,2.205399769405294e-05,0.0012612515548379023,handcrafted
q8point_I_nflank,2.9886917453020945e-05,3.139982370590743e-06,2.9886917453020945e-05,handcrafted
q8point_E_nflank,0.001989503784795541,2.966480166037815e-05,0.001989503784795541,handcrafted
q8point_B_nflank,0.00019468304293442272,8.98227653132584e-06,0.00019468304293442272,handcrafted
q8point_T_nflank,0.002243115376479799,2.3827707016154617e-05,0.002243115376479799,handcrafted
q8point_S_nflank,0.0020422056778302646,2.2862360409215292e-05,0.0020422056778302646,handcrafted
q8point_C_nflank,0.002279690278721766,3.884794036743008e-05,0.002279690278721766,handcrafted
q8point_H_cflank,0.0022943127680936683,3.347338044750936e-05,0.0022943127680936683,handcrafted
q8point_G_cflank,0.0011325418682537162,1.3148551073442895e-05,0.0011325418682537162,handcrafted
q8point_I_cflank,2.011484574810443e-05,2.0977731323708243e-06,2.011484574810443e-05,handcrafted
q8point_E_cflank,0.0020665885418531833,2.9279205579092837e-05,0.0020665885418531833,handcrafted
q8point_B_cflank,0.0002284394373802667,1.7236650565380635e-05,0.0002284394373802667,handcrafted
q8point_T_cflank,0.0023277250333516293,1.6360633358436294e-05,0.0023277250333516293,handcrafted
q8point_S_cflank,0.0020811920849537146,9.956708004739841e-06,0.0020811920849537146,handcrafted
q8point_C_cflank,0.0022910329266803576,5.617592781710147e-05,0.0022910329266803576,handcrafted
q8trans_H_n_pep,0.002456198150518905,2.59170035271517e-05,0.002456198150518905,handcrafted
q8trans_G_n_pep,0.000557751405145232,2.022293897550429e-05,0.000557751405145232,handcrafted
q8trans_I_n_pep,1.946869893262826e-05,2.847100041156648e-06,1.946869893262826e-05,handcrafted
q8trans_E_n_pep,0.0013725684577741196,1.6074600762910636e-05,0.0013725684577741196,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,0.0007328704794050731,1.430008505856727e-05,0.0007328704794050731,handcrafted
q8trans_S_n_pep,0.00018289847514541468,7.965341499777091e-06,0.00018289847514541468,handcrafted
q8trans_C_n_pep,0.0015939189084926153,3.175248274551165e-05,0.0015939189084926153,handcrafted
q8trans_H_pep_c,0.002388814798493933,3.8744570885758304e-05,0.002388814798493933,handcrafted
q8trans_G_pep_c,0.0002637263067340006,1.5096550040659643e-05,0.0002637263067340006,handcrafted
q8trans_I_pep_c,7.77665192077901e-06,1.878926002836265e-06,7.77665192077901e-06,handcrafted
q8trans_E_pep_c,0.0015324808726850647,1.0993944514977225e-05,0.0015324808726850647,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,0.0006334579143938735,1.7383061316678334e-05,0.0006334579143938735,handcrafted
q8trans_S_pep_c,6.00623410722119e-05,9.176072793496438e-06,6.00623410722119e-05,handcrafted
q8trans_C_pep_c,0.0018659326912188942,2.7006885130741097e-05,0.0018659326912188942,handcrafted
mean_plddt_peptide,0.02409538145378722,8.105304216757843e-05,0.02409538145378722,handcrafted
mean_plddt_nflank,0.023833832909701095,0.00013185346208472983,0.023833832909701095,handcrafted
mean_plddt_cflank,0.02283809731281238,0.0002942443714988005,0.02283809731281238,handcrafted
N10_A,0.001640139105283717,2.2314549078961433e-05,0.001640139105283717,aa_encoding
N10_C,0.0006927510710167103,1.9574748318680207e-05,0.0006927510710167103,aa_encoding
N10_D,0.001303265179716919,2.3066532628724548e-05,0.001303265179716919,aa_encoding
N10_E,0.0016321019867965927,1.7304819558860856e-05,0.0016321019867965927,aa_encoding
N10_F,0.0011686865381100539,2.8724138187470372e-05,0.0011686865381100539,aa_encoding
N10_G,0.0014451986539909813,1.0202381593786065e-05,0.0014451986539909813,aa_encoding
N10_H,0.0008900854525016669,2.067177072375183e-05,0.0008900854525016669,aa_encoding
N10_I,0.0012631093315587222,2.497116028994458e-05,0.0012631093315587222,aa_encoding
N10_K,0.001454878601527847,2.531266568700962e-05,0.001454878601527847,aa_encoding
N10_L,0.0020363116679437366,1.8134472057366903e-05,0.0020363116679437366,aa_encoding
N10_M,0.0008968714534143956,1.4408892523493441e-05,0.0008968714534143956,aa_encoding
N10_N,0.0011425718017943442,2.6743737948618466e-05,0.0011425718017943442,aa_encoding
N10_P,0.0013828392900174676,1.9277287200978293e-05,0.0013828392900174676,aa_encoding
N10_Q,0.0013012748792551507,7.0634238686205395e-06,0.0013012748792551507,aa_encoding
N10_R,0.0013884147531643223,1.4931616448199112e-05,0.0013884147531643223,aa_encoding
N10_S,0.001660494477143597,1.3904329207482377e-05,0.001660494477143597,aa_encoding
N10_T,0.001340496139217291,1.3323414833766148e-05,0.001340496139217291,aa_encoding
N10_V,0.0015126900775103995,1.2920163272537334e-05,0.0015126900775103995,aa_encoding
N10_W,0.0005020877958170245,1.682151661204065e-05,0.0005020877958170245,aa_encoding
N10_Y,0.0008985721418753353,1.3155189008572328e-05,0.0008985721418753353,aa_encoding
N9_A,0.001637307139500865,8.354069635311008e-06,0.001637307139500865,aa_encoding
N9_C,0.0006789830102742753,1.1663005224134522e-05,0.0006789830102742753,aa_encoding
N9_D,0.0013530933297264255,1.7031549733091897e-05,0.0013530933297264255,aa_encoding
N9_E,0.0016012131529923844,2.673016620550147e-05,0.0016012131529923844,aa_encoding
N9_F,0.0011510778543029263,2.7275505736386013e-05,0.0011510778543029263,aa_encoding
