feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_n_terminus,0.005006872952964711,5.885960658386559e-05,0.005006872952964711,handcrafted
rel_distance_from_c_terminus,0.005197156791748284,4.929303952319612e-05,0.005197156791748284,handcrafted
mean_rsa_peptide,0.005277573589329019,0.0001061357153776754,0.005277573589329019,handcrafted
mean_disorder_peptide,0.005053578741567295,5.461543178425188e-05,0.005053578741567295,handcrafted
mean_rsa_nflank,0.005102199533783482,5.2375189875349173e-05,0.005102199533783482,handcrafted
mean_disorder_nflank,0.004980514664145103,1.8560484382715174e-05,0.004980514664145103,handcrafted
mean_rsa_cflank,0.005799835042775591,0.00018684916715760996,0.005799835042775591,handcrafted
mean_disorder_cflank,0.0052680586627724185,0.00010122507932019908,0.0052680586627724185,handcrafted
q8point_H_peptide,0.00043815961020164185,9.472824157956086e-06,0.00043815961020164185,handcrafted
q8point_G_peptide,0.0002984587161157163,9.218995439233296e-06,0.0002984587161157163,handcrafted
q8point_I_peptide,8.656115808336524e-06,1.286186640992528e-06,8.656115808336524e-06,handcrafted
q8point_E_peptide,0.00041609072536336864,7.5596579384524896e-06,0.00041609072536336864,handcrafted
q8point_B_peptide,4.590570925617259e-05,2.457072573342855e-06,4.590570925617259e-05,handcrafted
q8point_T_peptide,0.0004378303023201604,1.1462959016647785e-05,0.0004378303023201604,handcrafted
q8point_S_peptide,0.00041093798333339545,8.515453414190129e-06,0.00041093798333339545,handcrafted
q8point_C_peptide,0.000655242511733262,4.631182199422822e-05,0.000655242511733262,handcrafted
q8point_H_nflank,0.0005848207410489128,2.6644713476639607e-05,0.0005848207410489128,handcrafted
q8point_G_nflank,0.0003131055395248374,4.97141555832277e-06,0.0003131055395248374,handcrafted
q8point_I_nflank,7.333324254283841e-06,1.8839938566057074e-06,7.333324254283841e-06,handcrafted
q8point_E_nflank,0.0004402719050646501,1.7852493656865468e-05,0.0004402719050646501,handcrafted
q8point_B_nflank,4.646507313763505e-05,3.847100117194418e-06,4.646507313763505e-05,handcrafted
q8point_T_nflank,0.0004662907872456987,6.380446419622299e-06,0.0004662907872456987,handcrafted
q8point_S_nflank,0.0004344424544451183,1.1253271837951192e-05,0.0004344424544451183,handcrafted
q8point_C_nflank,0.0004604865524389742,1.3058338289453254e-05,0.0004604865524389742,handcrafted
q8point_H_cflank,0.0004720360653400613,1.0566726044449927e-05,0.0004720360653400613,handcrafted
q8point_G_cflank,0.0002751821983081082,9.30447590833741e-06,0.0002751821983081082,handcrafted
q8point_I_cflank,5.469143480848623e-06,1.772517997008955e-06,5.469143480848623e-06,handcrafted
q8point_E_cflank,0.0004366978779236991,5.731233226251777e-06,0.0004366978779236991,handcrafted
q8point_B_cflank,6.365337839186706e-05,4.293086337993657e-06,6.365337839186706e-05,handcrafted
q8point_T_cflank,0.000465379046235228,1.147632159650328e-05,0.000465379046235228,handcrafted
q8point_S_cflank,0.0004434167834074655,9.36473159147786e-06,0.0004434167834074655,handcrafted
q8point_C_cflank,0.0004634143077889978,1.0662522572451632e-05,0.0004634143077889978,handcrafted
q8trans_H_n_pep,0.0007304679638133424,6.805068552544392e-05,0.0007304679638133424,handcrafted
q8trans_G_n_pep,0.00014931290415299157,8.36831580771992e-06,0.00014931290415299157,handcrafted
q8trans_I_n_pep,5.419343183930805e-06,7.540688590951876e-07,5.419343183930805e-06,handcrafted
q8trans_E_n_pep,0.00034631099644837424,4.097505043831787e-06,0.00034631099644837424,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,0.0001875578871615569,5.644133743952346e-06,0.0001875578871615569,handcrafted
q8trans_S_n_pep,4.462773773289804e-05,3.6061401688219206e-06,4.462773773289804e-05,handcrafted
q8trans_C_n_pep,0.0003996069862645259,6.897855510596646e-06,0.0003996069862645259,handcrafted
q8trans_H_pep_c,0.0005004536150369145,1.5207750346558682e-05,0.0005004536150369145,handcrafted
q8trans_G_pep_c,6.807569003855603e-05,2.834964049377946e-06,6.807569003855603e-05,handcrafted
q8trans_I_pep_c,1.8649729958366681e-06,4.921162423438691e-07,1.8649729958366681e-06,handcrafted
q8trans_E_pep_c,0.00035850664589598993,5.925851889555468e-06,0.00035850664589598993,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,0.00016775858526771776,3.452046527813271e-06,0.00016775858526771776,handcrafted
q8trans_S_pep_c,1.3839371491582809e-05,1.2040687550561696e-06,1.3839371491582809e-05,handcrafted
q8trans_C_pep_c,0.00041865856414040266,1.711123514028261e-05,0.00041865856414040266,handcrafted
mean_plddt_peptide,0.008118108767224476,0.0004463575898548595,0.008118108767224476,handcrafted
mean_plddt_nflank,0.007834203885081114,0.000451654153764939,0.007834203885081114,handcrafted
mean_plddt_cflank,0.007390995075337822,0.00044672508575479143,0.007390995075337822,handcrafted
N4_A,0.00039119935422003775,4.3294701751623116e-06,0.00039119935422003775,aa_encoding
N4_C,0.0001720757813529371,1.3143934675111972e-05,0.0001720757813529371,aa_encoding
N4_D,0.0003303904014541112,1.0329227191884889e-05,0.0003303904014541112,aa_encoding
N4_E,0.0003765584082088013,6.5143370531081975e-06,0.0003765584082088013,aa_encoding
N4_F,0.0002474184501100155,5.340450540295918e-06,0.0002474184501100155,aa_encoding
N4_G,0.00032944330530734983,9.186721804897946e-06,0.00032944330530734983,aa_encoding
N4_H,0.00022184881829643796,5.837261017769387e-06,0.00022184881829643796,aa_encoding
N4_I,0.00029177628196742857,1.10246237588762e-05,0.00029177628196742857,aa_encoding
N4_K,0.0003461337159799523,8.645060786841294e-06,0.0003461337159799523,aa_encoding
N4_L,0.00040151137352956265,7.520106811350323e-06,0.00040151137352956265,aa_encoding
N4_M,0.0002122554139310656,1.3719732180191873e-05,0.0002122554139310656,aa_encoding
N4_N,0.00027447662204275385,8.211819992117658e-06,0.00027447662204275385,aa_encoding
N4_P,0.0003074827080710085,1.16457355873799e-05,0.0003074827080710085,aa_encoding
N4_Q,0.00034778341308339106,1.4417084503821486e-05,0.00034778341308339106,aa_encoding
N4_R,0.0003154747326154845,5.827996103436786e-06,0.0003154747326154845,aa_encoding
N4_S,0.000377626716975799,8.226700222870522e-06,0.000377626716975799,aa_encoding
N4_T,0.0003272159602293337,1.5756970880508434e-05,0.0003272159602293337,aa_encoding
N4_V,0.00035097086737445073,8.329041880180565e-06,0.00035097086737445073,aa_encoding
N4_W,0.00010486002424315139,6.711875383544523e-06,0.00010486002424315139,aa_encoding
N4_Y,0.000213324178660451,6.309535663310416e-06,0.000213324178660451,aa_encoding
N3_A,0.00035251797656487194,9.239798730396089e-06,0.00035251797656487194,aa_encoding
N3_C,0.0001795828362058758,9.790228244777744e-06,0.0001795828362058758,aa_encoding
N3_D,0.0003211576791201189,3.7835055925302704e-06,0.0003211576791201189,aa_encoding
N3_E,0.00037185513257084057,1.596308208311653e-05,0.00037185513257084057,aa_encoding
N3_F,0.00026578234978507357,7.305345740823016e-06,0.00026578234978507357,aa_encoding
N3_G,0.0004739549565681746,4.6612010470721024e-05,0.0004739549565681746,aa_encoding
N3_H,0.00022707910570994092,9.027996926686192e-06,0.00022707910570994092,aa_encoding
N3_I,0.00030858977752618884,4.630343103027888e-06,0.00030858977752618884,aa_encoding
N3_K,0.00033114184611100864,9.996679268273328e-06,0.00033114184611100864,aa_encoding
N3_L,0.00045900517949571735,1.1402087241951743e-05,0.00045900517949571735,aa_encoding
N3_M,0.00021815667937263628,9.87583152519017e-06,0.00021815667937263628,aa_encoding
N3_N,0.00028104839661796666,6.5331822494511135e-06,0.00028104839661796666,aa_encoding
N3_P,0.0008142882149254585,0.00012733381772007924,0.0008142882149254585,aa_encoding
N3_Q,0.0003169037573086515,5.124678899827758e-06,0.0003169037573086515,aa_encoding
N3_R,0.0003457451421089646,1.3436734905157094e-05,0.0003457451421089646,aa_encoding
N3_S,0.0003609181084366377,7.487643902721815e-06,0.0003609181084366377,aa_encoding
N3_T,0.00034676382562201573,8.73312651439133e-06,0.00034676382562201573,aa_encoding
