feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_n_terminus,-6.8180668517170515,0.4539999741371151,6.8180668517170515,handcrafted
rel_distance_from_c_terminus,-6.782615436947966,0.44686412720150265,6.782615436947966,handcrafted
mean_rsa_peptide,-0.05046235808642045,0.017354920091062175,0.05046235808642045,handcrafted
mean_disorder_peptide,0.13278141932444956,0.0190062225803274,0.13278141932444956,handcrafted
mean_rsa_nflank,0.001955156170009191,0.017305536170059043,0.001955156170009191,handcrafted
mean_disorder_nflank,-0.04717236796864745,0.02103659653549418,0.04717236796864745,handcrafted
mean_rsa_cflank,0.08045937544124493,0.017419583646555763,0.08045937544124493,handcrafted
mean_disorder_cflank,0.003706332243064757,0.022267823485396597,0.003706332243064757,handcrafted
q8point_H_peptide,0.03350686845111908,0.020079346969247104,0.03350686845111908,handcrafted
q8point_G_peptide,0.019005046172040473,0.008635857119347331,0.019005046172040473,handcrafted
q8point_I_peptide,0.02867216916758184,0.011523786755953584,0.02867216916758184,handcrafted
q8point_E_peptide,-0.006599087632465387,0.013564058303027727,0.006599087632465387,handcrafted
q8point_B_peptide,-0.011613367188154719,0.005562414693718738,0.011613367188154719,handcrafted
q8point_T_peptide,-0.0053666807856913345,0.005036357787699998,0.0053666807856913345,handcrafted
q8point_S_peptide,-0.010207525873924008,0.005962288348668666,0.010207525873924008,handcrafted
q8point_C_peptide,-0.06769523424230073,0.014984781617678382,0.06769523424230073,handcrafted
q8point_H_nflank,0.012105350423434252,0.02407852124948208,0.012105350423434252,handcrafted
q8point_G_nflank,-0.005781382102000126,0.010770539688380312,0.005781382102000126,handcrafted
q8point_I_nflank,-0.20540352855371774,0.3482701681661382,0.20540352855371774,handcrafted
q8point_E_nflank,-0.03890124951020672,0.004957419615189703,0.03890124951020672,handcrafted
q8point_B_nflank,0.002176749053862284,0.006150803794792087,0.002176749053862284,handcrafted
q8point_T_nflank,-0.010210848694785585,0.01091950394178293,0.010210848694785585,handcrafted
q8point_S_nflank,-0.021292584961585932,0.007908414961894029,0.021292584961585932,handcrafted
q8point_C_nflank,0.03055646347662015,0.008179878622565438,0.03055646347662015,handcrafted
q8point_H_cflank,-0.01526265021781666,0.011756136815419116,0.01526265021781666,handcrafted
q8point_G_cflank,-0.0021893619249352845,0.004870964318837493,0.0021893619249352845,handcrafted
q8point_I_cflank,-0.005969091321861408,0.009670752567024396,0.005969091321861408,handcrafted
q8point_E_cflank,-0.018454906117529306,0.013760821152459928,0.018454906117529306,handcrafted
q8point_B_cflank,0.007717157631926234,0.002797243595364712,0.007717157631926234,handcrafted
q8point_T_cflank,-0.01962616913150651,0.010356842088306258,0.01962616913150651,handcrafted
q8point_S_cflank,-0.028920907816326308,0.006260202266942664,0.028920907816326308,handcrafted
q8point_C_cflank,0.0011663681083831107,0.01044962966065832,0.0011663681083831107,handcrafted
q8trans_H_n_pep,0.02315444769829093,0.01997189403164844,0.02315444769829093,handcrafted
q8trans_G_n_pep,-0.016249353319305576,0.01211975765673046,0.016249353319305576,handcrafted
q8trans_I_n_pep,0.151449290965037,0.28500718304126926,0.151449290965037,handcrafted
q8trans_E_n_pep,-0.00511108916575595,0.01146294603004458,0.00511108916575595,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,0.008264917408841844,0.006207302895299296,0.008264917408841844,handcrafted
q8trans_S_n_pep,0.0026807327092955007,0.004237846720477979,0.0026807327092955007,handcrafted
q8trans_C_n_pep,0.02066851715242872,0.011571457728766546,0.02066851715242872,handcrafted
q8trans_H_pep_c,-0.009809170297690878,0.024732267051830212,0.009809170297690878,handcrafted
q8trans_G_pep_c,-0.006857140892398255,0.004414301073062117,0.006857140892398255,handcrafted
q8trans_I_pep_c,-0.02360272505587695,0.012331381633164107,0.02360272505587695,handcrafted
q8trans_E_pep_c,0.022458594211569972,0.011253208253353403,0.022458594211569972,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,-0.005300013486946366,0.008282092308478041,0.005300013486946366,handcrafted
q8trans_S_pep_c,0.001217454684144405,0.004384005670790262,0.001217454684144405,handcrafted
q8trans_C_pep_c,0.014557296793312174,0.009419378268212536,0.014557296793312174,handcrafted
mean_plddt_peptide,0.0400380873137578,0.041512991655110146,0.0400380873137578,handcrafted
mean_plddt_nflank,0.0037976733063543066,0.03740023285553454,0.0037976733063543066,handcrafted
mean_plddt_cflank,0.24768806674756866,0.021868585862770736,0.24768806674756866,handcrafted
N10_A,0.11415526639760601,0.09551059806895862,0.11415526639760601,handcrafted
N10_C,0.04952498495670112,0.05125953013536842,0.04952498495670112,handcrafted
N10_D,0.0923458674385826,0.07429395652338225,0.0923458674385826,handcrafted
N10_E,0.10922540843783994,0.09738342041304708,0.10922540843783994,handcrafted
N10_F,0.10073767473143011,0.07131681379552654,0.10073767473143011,handcrafted
N10_G,0.09280739717453967,0.09064909798341256,0.09280739717453967,handcrafted
N10_H,0.07274310682833679,0.055688270236558354,0.07274310682833679,handcrafted
N10_I,0.0824404112970524,0.07726651257200437,0.0824404112970524,handcrafted
N10_K,0.10245055830928833,0.09050193969481574,0.10245055830928833,handcrafted
N10_L,0.11334031593072633,0.12066114207321936,0.11334031593072633,handcrafted
N10_M,0.041731686083034195,0.05690711396376667,0.041731686083034195,handcrafted
N10_N,0.0791529378153093,0.06951587749686043,0.0791529378153093,handcrafted
N10_P,0.11137230975272987,0.08346404425597768,0.11137230975272987,handcrafted
N10_Q,0.1170427071020584,0.08969552601514255,0.1170427071020584,handcrafted
N10_R,0.10217973208448031,0.08696303450643943,0.10217973208448031,handcrafted
N10_S,0.11149025309022949,0.09952530206937713,0.11149025309022949,handcrafted
N10_T,0.09333104703111543,0.08768400536457045,0.09333104703111543,handcrafted
N10_V,0.09139823784787517,0.09162614282722531,0.09139823784787517,handcrafted
N10_W,0.03571763246439085,0.038533351893457427,0.03571763246439085,handcrafted
N10_Y,0.05175944866048804,0.05947588515823115,0.05175944866048804,handcrafted
N9_A,-0.229576416779737,0.10917405216298735,0.229576416779737,handcrafted
N9_C,-0.11783615936669907,0.05982989669952154,0.11783615936669907,handcrafted
N9_D,-0.18240829974443934,0.08908163853281723,0.18240829974443934,handcrafted
N9_E,-0.20310211756926982,0.11167192043225525,0.20310211756926982,handcrafted
N9_F,-0.17133333217856758,0.0792214919166581,0.17133333217856758,handcrafted
N9_G,-0.19920772333244854,0.09933539485252821,0.19920772333244854,handcrafted
N9_H,-0.12491230806566607,0.0652497454610611,0.12491230806566607,handcrafted
N9_I,-0.16468193517607496,0.09371743651208912,0.16468193517607496,handcrafted
