feature,weight_mean,weight_std,weight_abs_mean,feature_type
rel_distance_from_n_terminus,0.0023724110886985256,0.00011392513941555227,0.0023724110886985256,handcrafted
rel_distance_from_c_terminus,0.0024375134061742016,0.0001078234376180353,0.0024375134061742016,handcrafted
mean_rsa_peptide,0.0022789694578526287,6.61891784310411e-05,0.0022789694578526287,handcrafted
mean_disorder_peptide,0.0022508087721022406,5.070428029628625e-05,0.0022508087721022406,handcrafted
mean_rsa_nflank,0.0022568803305098137,7.031441156829047e-05,0.0022568803305098137,handcrafted
mean_disorder_nflank,0.002213364393919846,5.737117402579714e-05,0.002213364393919846,handcrafted
mean_rsa_cflank,0.002625775680671698,5.228142822204334e-05,0.002625775680671698,handcrafted
mean_disorder_cflank,0.0023881555900402726,7.57098327110861e-05,0.0023881555900402726,handcrafted
q8point_H_peptide,0.00030532331588461635,2.0031543880541737e-05,0.00030532331588461635,handcrafted
q8point_G_peptide,0.00013689107247039642,7.61540692575962e-06,0.00013689107247039642,handcrafted
q8point_I_peptide,1.5456094836533039e-06,2.1650394779296062e-07,1.5456094836533039e-06,handcrafted
q8point_E_peptide,0.0002393140070529231,4.558542015490159e-06,0.0002393140070529231,handcrafted
q8point_B_peptide,5.407904792424847e-06,6.91447517795511e-07,5.407904792424847e-06,handcrafted
q8point_T_peptide,0.00023030418300623616,1.8707556659943996e-05,0.00023030418300623616,handcrafted
q8point_S_peptide,0.00018756656917980603,4.59518873144041e-06,0.00018756656917980603,handcrafted
q8point_C_peptide,0.0004120849160273732,3.6070894031738945e-05,0.0004120849160273732,handcrafted
q8point_H_nflank,0.0005409248499034235,3.419215531399767e-05,0.0005409248499034235,handcrafted
q8point_G_nflank,0.0001110454329106263,7.81082437915965e-06,0.0001110454329106263,handcrafted
q8point_I_nflank,2.0866513483146045e-06,9.164831184403916e-07,2.0866513483146045e-06,handcrafted
q8point_E_nflank,0.0002693340537996677,2.794048525452031e-05,0.0002693340537996677,handcrafted
q8point_B_nflank,1.3559535018461398e-05,3.3953771876822364e-06,1.3559535018461398e-05,handcrafted
q8point_T_nflank,0.00024816513355808094,8.870800786916322e-06,0.00024816513355808094,handcrafted
q8point_S_nflank,0.00021843051929524242,1.23402807468755e-05,0.00021843051929524242,handcrafted
q8point_C_nflank,0.0003045368481374765,2.0860536203261053e-05,0.0003045368481374765,handcrafted
q8point_H_cflank,0.00029052691501514573,1.3591074836890861e-05,0.00029052691501514573,handcrafted
q8point_G_cflank,0.00010574223549527248,1.015512073083744e-05,0.00010574223549527248,handcrafted
q8point_I_cflank,1.094948469808743e-06,2.3484065417804153e-07,1.094948469808743e-06,handcrafted
q8point_E_cflank,0.00023335425733803008,5.199719605709789e-06,0.00023335425733803008,handcrafted
q8point_B_cflank,1.4695796168212632e-05,3.56217392657875e-06,1.4695796168212632e-05,handcrafted
q8point_T_cflank,0.00025699343074052025,1.166869722526592e-05,0.00025699343074052025,handcrafted
q8point_S_cflank,0.0002292518669215727,9.201301795989038e-06,0.0002292518669215727,handcrafted
q8point_C_cflank,0.00028255497989364785,1.4762660657678963e-05,0.00028255497989364785,handcrafted
q8trans_H_n_pep,0.0004637589538116106,3.0970736370257295e-05,0.0004637589538116106,handcrafted
q8trans_G_n_pep,5.995663044697644e-05,8.346881234006178e-06,5.995663044697644e-05,handcrafted
q8trans_I_n_pep,9.288131030055852e-07,3.4787564995245933e-07,9.288131030055852e-07,handcrafted
q8trans_E_n_pep,0.0001634458922312357,1.1174265265982116e-05,0.0001634458922312357,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,8.114567055219013e-05,1.1871994082560702e-05,8.114567055219013e-05,handcrafted
q8trans_S_n_pep,1.196946100805627e-05,2.381474949158823e-06,1.196946100805627e-05,handcrafted
q8trans_C_n_pep,0.0002944003757467559,1.4093562672657413e-05,0.0002944003757467559,handcrafted
q8trans_H_pep_c,0.0003385956925723035,1.8936538352239476e-05,0.0003385956925723035,handcrafted
q8trans_G_pep_c,2.9279843573021487e-05,6.429413332984571e-06,2.9279843573021487e-05,handcrafted
q8trans_I_pep_c,3.220418716072251e-07,1.737769543268039e-07,3.220418716072251e-07,handcrafted
q8trans_E_pep_c,0.0001770116862617902,7.780961488884627e-06,0.0001770116862617902,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,3.9021920593223754e-05,4.011547043507125e-06,3.9021920593223754e-05,handcrafted
q8trans_S_pep_c,6.829946111040162e-06,2.52465789024905e-06,6.829946111040162e-06,handcrafted
q8trans_C_pep_c,0.00025567442725790143,1.3330854614452012e-05,0.00025567442725790143,handcrafted
mean_plddt_peptide,0.0013393325460738987,6.836043317844139e-05,0.0013393325460738987,handcrafted
mean_plddt_nflank,0.0014074724693989263,8.561032021554762e-05,0.0014074724693989263,handcrafted
mean_plddt_cflank,0.0011260447113507458,4.771857112327464e-05,0.0011260447113507458,handcrafted
N10_A,0.00018707732313990374,7.697780451069242e-06,0.00018707732313990374,handcrafted
N10_C,7.300766377444803e-05,4.312958251040771e-06,7.300766377444803e-05,handcrafted
N10_D,0.00016829048245147404,1.047105674643954e-05,0.00016829048245147404,handcrafted
N10_E,0.00019632383055977537,1.9610388527383684e-05,0.00019632383055977537,handcrafted
N10_F,0.00017296612015684802,1.6489146599420745e-05,0.00017296612015684802,handcrafted
N10_G,0.00014407816593381474,3.992602893945841e-06,0.00014407816593381474,handcrafted
N10_H,0.0001017433524905178,3.55468930473596e-06,0.0001017433524905178,handcrafted
N10_I,0.00014775560680746757,1.2813627856840954e-05,0.00014775560680746757,handcrafted
N10_K,0.0001925694302403073,1.2750287589593697e-05,0.0001925694302403073,handcrafted
N10_L,0.0002713976730444375,2.8864683566968122e-05,0.0002713976730444375,handcrafted
N10_M,0.00011245909051590974,1.027140010663545e-05,0.00011245909051590974,handcrafted
N10_N,0.0001583885583420472,1.2819035544090461e-05,0.0001583885583420472,handcrafted
N10_P,0.00022313782725071077,3.4426777741113846e-05,0.00022313782725071077,handcrafted
N10_Q,0.00018663744133738655,1.0747628817836943e-05,0.00018663744133738655,handcrafted
N10_R,0.00016312005473855667,8.744971711858216e-06,0.00016312005473855667,handcrafted
N10_S,0.0002132455617324781,8.337014146295212e-06,0.0002132455617324781,handcrafted
N10_T,0.00016574987379605334,1.700158697139259e-05,0.00016574987379605334,handcrafted
N10_V,0.00017910462013219166,1.4009772076955385e-05,0.00017910462013219166,handcrafted
N10_W,6.268130776532965e-05,1.0202591402832139e-05,6.268130776532965e-05,handcrafted
N10_Y,0.00010764024115401346,4.499541545796916e-06,0.00010764024115401346,handcrafted
N9_A,0.0001867722069056063,1.7388883523059446e-05,0.0001867722069056063,handcrafted
N9_C,8.520516118246987e-05,3.248946913149356e-06,8.520516118246987e-05,handcrafted
N9_D,0.00020381938637212678,1.3745861232996075e-05,0.00020381938637212678,handcrafted
N9_E,0.00020371894896660677,1.1401709691561896e-05,0.00020371894896660677,handcrafted
N9_F,0.00013536230776649104,1.1531003164084341e-05,0.00013536230776649104,handcrafted
N9_G,0.00016279574027423707,1.5552014020146846e-05,0.00016279574027423707,handcrafted
N9_H,8.992303214044512e-05,8.962107056765266e-06,8.992303214044512e-05,handcrafted
N9_I,0.00019800307524388494,7.933492031635426e-06,0.00019800307524388494,handcrafted
N9_K,0.0002002425955200724,1.1409598877989262e-05,0.0002002425955200724,handcrafted
N9_L,0.00024655228301667713,2.143986419519104e-05,0.00024655228301667713,handcrafted
N9_M,7.652310073899481e-05,8.426228339600434e-06,7.652310073899481e-05,handcrafted
N9_N,0.00012424211783054577,1.0622793927536367e-05,0.00012424211783054577,handcrafted
N9_P,0.00018408779408359636,1.7842061728709827e-05,0.00018408779408359636,handcrafted
N9_Q,0.00017773808495839276,1.8303293105544326e-05,0.00017773808495839276,handcrafted
N9_R,0.00016855553708311241,1.619694216866477e-05,0.00016855553708311241,handcrafted
