model	features	embedding	pca	cv_auc_roc_mean	cv_auc_roc_std	cv_mcc_mean	cv_f1_mean	cv_accuracy_mean	result_file
lr_elasticnet	handcrafted_sparse_esmc	esmc	1	0.7115850798761961	0.005785936256592135	0.305077270382715	0.6381169676075068	0.6523159396823961	models/cv_results_lr_elasticnet_handcrafted_sparse_esmc_pca1_20260916_133719.json
lr_elasticnet	handcrafted_sparse_esmc	esmc	13	0.7227571802184238	0.004498483328151073	0.3225626599843591	0.6461570257926069	0.6612824848826908	models/cv_results_lr_elasticnet_handcrafted_sparse_esmc_pca13_20260916_171448.json
lr_elasticnet	handcrafted_sparse_esmc	esmc	26	0.7283072584937532	0.004042779314910848	0.3332434918757899	0.6514132187839953	0.6666667936715562	models/cv_results_lr_elasticnet_handcrafted_sparse_esmc_pca26_20260916_210720.json
lr_elasticnet	handcrafted_sparse_esmc	esmc	66	0.7355397156914343	0.005103113802825381	0.3418285099673953	0.6561442407046524	0.670892652209424	models/cv_results_lr_elasticnet_handcrafted_sparse_esmc_pca66_20260917_005004.json
lr_elasticnet	handcrafted_sparse_esmc	esmc	218	0.7400382598964041	0.00565939313177816	0.3492347683842519	0.659403837051089	0.6747325456490084	models/cv_results_lr_elasticnet_handcrafted_sparse_esmc_pca218_20260917_044235.json
lr_elasticnet	handcrafted_sparse_esmc	esmc	718	0.7380309556745894	0.0051566847119437305	0.3469189525247067	0.6578069148700053	0.6736598540691731	models/cv_results_lr_elasticnet_handcrafted_sparse_esmc_pca718_20260917_093000.json
lr_elasticnet	handcrafted_sparse_esmif	esmif	9	0.7153811299440784	0.005994562654486135	0.30704528100475276	0.6385694389251201	0.6534313159490145	models/cv_results_lr_elasticnet_handcrafted_sparse_esmif_pca9_20260917_172045.json
lr_elasticnet	handcrafted_sparse_esmif	esmif	64	0.7221116340653634	0.006219117285868443	0.3182725240935422	0.6443062556295933	0.6590515694518784	models/cv_results_lr_elasticnet_handcrafted_sparse_esmif_pca64_20260917_205408.json
lr_elasticnet	handcrafted_sparse_esmif	esmif	95	0.7234249013495262	0.006146208703508996	0.3199478157142386	0.6449606057475062	0.6599310534630396	models/cv_results_lr_elasticnet_handcrafted_sparse_esmif_pca95_20260918_004241.json
lr_elasticnet	handcrafted_sparse_esmif	esmif	148	0.7249337592198036	0.00656694489635316	0.32411715791182244	0.6467919766572992	0.6620976436782847	models/cv_results_lr_elasticnet_handcrafted_sparse_esmif_pca148_20260918_043743.json
