feature,PC1,PC2,PC3,PC4,PC5
mean_rsa_peptide,-0.2784404537460723,0.12134419751039799,-0.00884534745905938,0.04010885047450053,-0.03143425461531475
mean_disorder_peptide,-0.3447125491797999,-0.051041136078272195,0.023603568036987654,0.021458312859237345,0.023649952096487466
mean_plddt_peptide,0.3352610571282395,0.06701525086223292,-0.032399001483838896,-0.0025985991959611987,-0.06833130839223361
rel_distance_from_n_terminus,0.014113142946103826,0.055049447650785455,0.4878461948252983,-0.43661734640047956,-0.0847688345106721
rel_distance_from_c_terminus,-0.015358287120202863,-0.053787073865605106,-0.48729435935360027,0.4360345925151733,0.0876248561151011
protein_length,-0.047958379343175345,0.04323754386204132,0.009495593431342472,-0.015172587622114486,0.07978046036490923
mean_rsa_nflank,-0.26648218600259843,0.12695104567652155,-0.0730800615857568,0.11202606913012514,0.0168107861692407
mean_disorder_nflank,-0.3325894048779707,-0.047197271463745014,-0.02675713617117123,0.06974074526914453,0.04525808991069716
mean_plddt_nflank,0.31986587006623846,0.06156341255853172,0.013607437241194537,-0.04696264434130648,-0.07881860929504114
mean_rsa_cflank,-0.25675443784392304,0.19647032348697385,0.06844766599470126,-0.037399531909093814,-0.07586556543344214
mean_disorder_cflank,-0.3280875544425151,-0.0023168838025898857,0.07497658564216478,-0.032382877851859504,-0.004421579781328566
mean_plddt_cflank,0.3193399323384157,0.02147672338926038,-0.07023136049105672,0.041003631064004974,-0.032073041799287716
N10_A,-0.004398791988769418,-0.022147209806199043,-0.03518300735301283,-0.02358826049981816,-0.07483815474887259
N10_C,0.01189090097803383,-0.01216184911725083,-0.0010916905321555204,7.913874988536573e-4,6.994148944922673e-4
N10_D,0.005129783270233278,0.018548803902902054,0.009885840257570944,0.022335313603327397,0.008010206981227619
N10_E,-0.008368276962361493,0.07639704575996097,-0.00660417283487319,0.018283415839631036,-0.027658195464628
N10_F,0.016463542524470128,-0.02670027440103544,0.020014515477860984,0.0022788866712687983,0.02477166926142435
N10_G,-0.00255630788251554,-0.04556369427334571,-0.028172348884509833,-0.0017172693394055436,-0.009980002444589676
N10_H,0.004950922628572175,-0.004436116863900973,-9.067913641422386e-5,-2.72318328466902e-4,-0.004810392299885308
N10_I,0.023843928367526707,-0.005403964039363036,0.04067476421959393,-0.0012662750917894232,0.04578405969069468
N10_K,8.75509451851431e-4,0.0674173735148295,0.02651219697668673,0.03633009007271372,0.030793080477788923
N10_L,0.014649166281555524,0.017693165445770712,-0.00544113684071041,-0.04123482754957693,-0.019257851058222
N10_M,0.001144470246431383,-0.0020287882536352726,0.015828270640147492,0.021854442238927775,0.014355790642249828
N10_N,0.0076578882157150125,0.017330087674239998,0.017253521923124314,0.011225224310666167,0.04275188624890191
N10_P,-0.03638559002393699,-0.05481020150039012,-0.0028665265861292405,-0.027166726772703525,0.004929386771645691
N10_Q,-0.01006799558407185,0.03378958410384152,-9.313514065688168e-4,-0.017681050363886803,-0.022463260321184616
N10_R,0.006277875194402572,0.008704067226620146,-0.020124583541640633,-0.015605302143183458,-0.017127515624416584
N10_S,-0.025067847967418223,-0.021237751152651838,0.009873483144534338,-0.0037588169444342278,0.029695662047146597
N10_T,-0.001908569629946919,-0.01307864321004125,0.01240529060049222,-0.0025133164093657095,0.007396275795222382
N10_V,0.016131760756831676,-0.025353536552413757,0.022030771723905707,7.474042020710462e-4,-0.011163992446351955
N10_W,0.01584224166427652,-0.017221722726627146,0.0106838550329387,-0.00953625951012127,0.00672628697416203
N10_Y,0.018522668760378124,-0.0054163409898683006,0.013949096779666867,-0.004034368051287573,0.01349798356237912
N9_A,-0.007397970258865489,-0.025299537848201104,-0.017248398329972693,-0.03285185501071306,-0.07375766463872249
N9_C,0.01444335000612679,-0.01172684671614754,2.237451160344277e-4,-0.01146348609211085,0.0048985504468776085
N9_D,0.0043415973842199605,-0.004225104649392907,0.021282158940434295,0.0200359856847988,0.022333919099110235
N9_E,-0.004617942935654621,0.058825184644482026,-0.009917879664897818,0.0063237358300692,-0.01352668001822462
N9_F,0.01844449673363031,-0.012047340307831736,0.023047744056641988,0.005065981125194758,0.03092552116969465
N9_G,-0.005920398631786731,-0.05543468020981501,-0.017642883146217876,0.009264387761720167,-0.020556272072327898
N9_H,0.0072160060449322355,-0.013567783882802944,0.011767612319350465,-0.007998619404246943,0.007884195095760601
N9_I,0.02269493473076089,0.011294028113683867,0.030228234703737096,0.010737549492025013,0.02458616136812629
N9_K,7.988027142051005e-4,0.05557016140785362,0.023203559014021997,0.04415726367358809,0.021579770237760112
N9_L,0.016338078319682505,0.028311684116238994,-0.021278945448733315,-0.053242153646396236,-0.02386621655317529
N9_M,8.444769491026248e-4,0.011284526776786175,-0.0019954691739857136,0.0049245705332472385,-0.0044129006010911005
N9_N,0.00517856058643917,0.023843974399362526,0.031439458959611366,0.01974883881380259,0.03483614573499613
N9_P,-0.03271282542049561,-0.04427954755646275,-0.010219971107612158,-0.02936297263415875,0.01899641859025526
N9_Q,-0.0125745769843442,0.03075950246559703,4.5764357064164313e-4,-0.015961269888484095,-0.011090252138490351
N9_R,-2.1556417976939334e-4,0.019983697404299724,-0.03177528835183717,0.0045662272366445095,-0.031999799421594435
N9_S,-0.02375190670885296,-0.02584482701250103,0.01299747740836515,0.003143910605003691,0.042040285027093324
N9_T,0.0022503465394628722,-0.013936789173371397,0.02984977974465164,-0.008826084984486742,0.0012395839700825456
N9_V,0.014447658148502225,-0.017076369126543253,0.0038098858946557456,0.0020981139706646758,-0.013505979476897684
N9_W,0.013603711595331658,-0.01619222235999726,0.007416796919729761,-0.022613509011485667,0.00935881835059589
N9_Y,0.01748056347919948,-0.010539237896357304,0.008706443046307851,0.018111126396408748,0.013885374348402896
N8_A,-0.008688714721803777,-0.01486119032702407,-0.01574282214617733,-0.025825501075409537,-0.09368136752198164
N8_C,0.012461962360008823,-0.020332722318833523,0.002255926547368128,-0.012119458068438102,-0.008791673401894429
N8_D,0.003929714717119671,0.03133093632552397,0.014154460427247302,0.011404802474393006,0.027075779608653847
N8_E,-0.004320993179713489,0.10305588760353444,-0.023842358743348405,0.007702979534606615,-0.020513214187154738
N8_F,0.02195356785081506,-0.03548354773880829,0.015203810474765845,0.010900288840768236,0.03442082591442303
N8_G,-0.004236985179457691,-0.05014843531415465,-0.00575855717882667,2.6249144864472164e-4,-0.031404990516482816
N8_H,0.005938611010010176,-0.012555277194347913,-0.012449766509247118,-0.013815903889980233,0.01591924532308509
N8_I,0.022690596564522544,-0.020180229303082053,0.04221337203286661,0.024642740525750422,0.033807677124898114
N8_K,0.0011465408255228711,0.07839926494993489,0.028494562315570716,0.0406087333768725,0.03644813288381105
N8_L,0.015056696221474817,-0.03583740275844994,-0.018970354526161762,-0.03539310305138092,0.010057683052945117
N8_M,-0.0030962273750517614,-2.3891375421367686e-4,3.165928835079152e-4,0.02553285303693829,-0.008690505561446923
N8_N,0.005783801725632047,0.016629271595501365,0.024467817565104903,0.013699796029063838,0.032676775454766584
N8_P,-0.030869743623162534,-0.054107478183569695,0.0038700615924137593,-0.030680393442909546,0.009132445414275032
N8_Q,-0.007160433454688428,0.06505860730538424,-0.009940593160116189,-0.027913089927142955,-0.035307856874030506
N8_R,0.0015063347861753653,0.02300108775194102,-0.03404905981225059,-0.0174676574635028,-0.03723944261566703
N8_S,-0.025659997817639377,-0.008811118669049742,0.022722037561964326,-0.0013179043159624554,0.025626155793960083
N8_T,-2.611655659999962e-4,-0.013779680935628117,0.013053216174516026,-0.00243646421373428,0.011317216960062623
N8_V,0.012797711189369818,-0.031004219639162747,0.0045570183583517,9.135665836989525e-4,-0.006311491759633549
N8_W,0.011220114358010885,-0.02221681449282227,-0.004146915726366791,-6.534322607572726e-4,0.010774314128074778
N8_Y,0.01819705848441473,-0.016364190827593838,0.030373045071962774,0.012771116653554744,0.03031399636124094
N7_A,-0.005101549855061544,-0.01582370878082702,-0.033060808114132534,-0.018595237295519016,-0.08826968436416836
N7_C,0.016242889521164997,-0.014990370406014905,0.010264008287454256,-0.018101364509721843,-0.0059530987601857715
N7_D,0.0030048769104961274,0.02838390950867386,0.007038929625779977,0.01572782652160885,0.027439264801888075
N7_E,-0.006759584242509577,0.11043101969006938,-0.0164636611159402,0.02305326601622878,-0.026136167424612
N7_F,0.02487488335318456,-0.03203226454447194,0.015334861472155549,-0.01021768912338064,0.031948009344204095
N7_G,-0.0037307140254199825,-0.045681229614775117,-0.016121988651718,0.006843934803731177,-0.034810446357646255
N7_H,0.00105524343676239,-4.972700408881493e-4,0.010922047713449911,-0.0026037645914735396,0.011155717694601297
N7_I,0.02488061695165085,-0.0031249193239769146,0.03946578846631831,0.015387621750174885,0.03742502677223651
N7_K,5.306057042920376e-4,0.06368406005702625,0.027460266788450587,0.030473138788233028,0.02368104761510812
N7_L,0.013412327001891794,-0.03194357827062481,-0.01786058224864683,-0.035832938803036306,0.00820552915761342
N7_M,0.005067574801794695,0.0018672569314495619,-0.002908618945463842,0.011860614198582671,0.007384465285145976
N7_N,0.005303490277267011,0.011951555833712043,0.01772299869164658,0.02396366182243051,0.0403855611083015
N7_P,-0.03811001486633211,-0.06290165645220933,0.011588181723561871,-0.02065205714914942,0.024123255666662905
N7_Q,-0.00755659324240847,0.051889791553360765,-0.013399229969626501,-0.024612010859423834,-0.027662014864167927
N7_R,4.8610233468656153e-4,0.01638139295285577,-0.02669779139436941,-0.006878774497873621,-0.04065694337726837
N7_S,-0.029782659482990217,-0.020215642839020633,0.013258550658695608,-0.002341421013280438,0.030978439319070936
