uniprot_id	uniprot_length	af_length	length_match	has_isoform_suffix	downloaded_model	coverage	n_peptides	n_context_matches	n_context_mismatches
A0A7I2SVS4	1089	1089	True	False	alphafold_v6	ok	2	2	0
Q5UE93	754	754	True	False	alphafold_v6	ok	7	7	0
O14519	115	115	True	False	alphafold_v6	ok	1	1	0
Q96PQ1	595	595	True	False	alphafold_v6	ok	1	1	0
H7BZ55	1653	1653	True	False	alphafold_v6	ok	1	1	0
Q9BXA6	273	273	True	False	alphafold_v6	ok	0	0	0
Q6NUQ4	689	689	True	False	alphafold_v6	ok	5	5	0
O60595	253	253	True	False	alphafold_v6	ok	1	1	0
A0A0C4DH30	117	117	True	False	alphafold_v6	ok	0	0	0
P07204	575	575	True	False	alphafold_v6	ok	0	0	0
P54578	494	494	True	False	alphafold_v6	ok	4	4	0
P29144	1249	1249	True	False	alphafold_v6	ok	4	4	0
P22794	236	236	True	False	alphafold_v6	ok	1	1	0
Q14703	1052	1052	True	False	alphafold_v6	ok	5	5	0
P51648	485	485	True	False	alphafold_v6	ok	3	3	0
Q9Y375	327	327	True	False	alphafold_v6	ok	1	1	0
P84243	136	136	True	False	alphafold_v6	ok	7	7	0
Q16543	378	378	True	False	alphafold_v6	ok	2	2	0
Q01094	437	437	True	False	alphafold_v6	ok	0	0	0
Q9UKA2	621	621	True	False	alphafold_v6	ok	0	0	0
P17612	351	351	True	False	alphafold_v6	ok	3	3	0
P54868	508	508	True	False	alphafold_v6	ok	0	0	0
Q8N5I2	433	433	True	False	alphafold_v6	ok	2	2	0
Q9HAU4	748	748	True	False	alphafold_v6	ok	2	2	0
Q7Z736	793	793	True	False	alphafold_v6	ok	1	1	0
Q15043	492	492	True	False	alphafold_v6	ok	5	5	0
Q9UF56	701	701	True	False	alphafold_v6	ok	0	0	0
Q01105-2	277	277	True	True	alphafold_v6	ok	1	1	0
Q16514	161	161	True	False	alphafold_v6	ok	0	0	0
Q96BX8	217	217	True	False	alphafold_v6	ok	3	3	0
Q8IV76	773	773	True	False	alphafold_v6	ok	1	1	0
P31639	672	672	True	False	alphafold_v6	ok	2	2	0
P32942	547	547	True	False	alphafold_v6	ok	1	1	0
O60496	412	412	True	False	alphafold_v6	ok	1	1	0
Q09472	2414	2414	True	False	alphafold_v6	ok	16	16	0
Q6SZW1	724	724	True	False	alphafold_v6	ok	0	0	0
Q9UMZ3	2332	2332	True	False	alphafold_v6	ok	0	0	0
Q9BYD1	178	178	True	False	alphafold_v6	ok	1	1	0
Q8IX21	1173	1173	True	False	alphafold_v6	ok	1	1	0
Q9Y5H8	950	950	True	False	alphafold_v6	ok	1	1	0
I3L2P4	223	223	True	False	alphafold_v6	ok	0	0	0
A0A087X1J4	538	538	True	False	alphafold_v6	ok	1	1	0
Q14814-5	513	513	True	True	alphafold_v6	ok	1	1	0
Q15404	277	277	True	False	alphafold_v6	ok	4	4	0
O60308	925	925	True	False	alphafold_v6	ok	5	5	0
Q9BW83	186	186	True	False	alphafold_v6	ok	4	4	0
Q14765	748	748	True	False	alphafold_v6	ok	3	3	0
Q9NPG3	1134	1134	True	False	alphafold_v6	ok	0	0	0
Q9Y6C5	1203	1203	True	False	alphafold_v6	ok	0	0	0
O14558	160	160	True	False	alphafold_v6	ok	0	0	0
Q9GZN7	287	287	True	False	alphafold_v6	ok	3	3	0
Q2TAY7	513	513	True	False	alphafold_v6	ok	4	4	0
Q01814	1243	1243	True	False	alphafold_v6	ok	3	3	0
O43768	121	121	True	False	alphafold_v6	ok	2	2	0
Q68CP9	1835	1835	True	False	alphafold_v6	ok	4	4	0
Q56A73	249	249	True	False	alphafold_v6	ok	0	0	0
Q86YP4	633	633	True	False	alphafold_v6	ok	2	2	0
P11509	494	494	True	False	alphafold_v6	ok	0	0	0
Q9P1Y6	1649	1649	True	False	alphafold_v6	ok	2	2	0
Q8IXH7	590	590	True	False	alphafold_v6	ok	11	11	0
Q08397	574	574	True	False	alphafold_v6	ok	1	1	0
Q8IV61	690	690	True	False	alphafold_v6	ok	0	0	0
P21810	368	368	True	False	alphafold_v6	ok	1	1	0
Q8N8A6	666	666	True	False	alphafold_v6	ok	6	6	0
Q8WXA3	606	606	True	False	alphafold_v6	ok	3	3	0
Q8IXQ4	340	340	True	False	alphafold_v6	ok	0	0	0
Q9BU23	707	707	True	False	alphafold_v6	ok	10	10	0
Q8IUE6	130	130	True	False	alphafold_v6	ok	1	1	0
P07359	652	652	True	False	alphafold_v6	ok	1	1	0
Q9Y3Q8	395	395	True	False	alphafold_v6	ok	1	1	0
O15263	64	64	True	False	alphafold_v6	ok	0	0	0
Q01415	458	458	True	False	alphafold_v6	ok	3	3	0
Q86Z02	1210	1210	True	False	alphafold_v6	ok	5	5	0
Q9NZD2	209	209	True	False	alphafold_v6	ok	1	1	0
Q86XS8	419	419	True	False	alphafold_v6	ok	5	5	0
Q96RP8	456	456	True	False	alphafold_v6	ok	0	0	0
Q9BVR0	1158	1158	True	False	alphafold_v6	ok	2	2	0
Q9Y5Q8	519	519	True	False	alphafold_v6	ok	1	1	0
P34896	483	483	True	False	alphafold_v6	ok	3	3	0
Q6WCQ1	1025	1025	True	False	alphafold_v6	ok	1	1	0
C4AMC7	463	463	True	False	alphafold_v6	ok	2	2	0
P61812	414	414	True	False	alphafold_v6	ok	2	2	0
Q6UXT9	468	468	True	False	alphafold_v6	ok	1	1	0
Q8NCE0	465	465	True	False	alphafold_v6	ok	1	1	0
O75436	327	327	True	False	alphafold_v6	ok	2	2	0
Q9Y2G8	782	782	True	False	alphafold_v6	ok	3	3	0
Q92835	1189	1189	True	False	alphafold_v6	ok	6	6	0
Q07820	350	350	True	False	alphafold_v6	ok	2	2	0
O75829	334	334	True	False	alphafold_v6	ok	1	1	0
Q9ULH0	1771	1771	True	False	alphafold_v6	ok	5	5	0
Q66K64	600	600	True	False	alphafold_v6	ok	3	3	0
Q8NHQ1	597	597	True	False	alphafold_v6	ok	2	2	0
Q6UW68	189	189	True	False	alphafold_v6	ok	4	4	0
