uniprot_id,peptide_missing_rate,nflank_missing_rate,cflank_missing_rate,n_peptides
A0A024R6N5,0.0,0.0,0.0,3
A0A075B6F3,1.0,1.0,1.0,46
A0A075B6W5,0.0,0.0,0.0,1
A0A087WTI6,0.0,0.0,0.0,6
A0A087WUL8,1.0,1.0,1.0,42
A0A087WX93,0.0,0.0,1.0,1
A0A087WXS9,0.0,0.0,0.0,3
A0A087WZ13,0.0,0.0,0.0,1
A0A096LNH2,1.0,1.0,1.0,7
A0A096LP25,0.0,0.0,0.0,8
A0A0A6YYJ5,1.0,1.0,1.0,7
A0A0B4J287,0.0,0.0,0.0,5
A0A0C4DGP1,0.0,0.0,0.0,3
A0A0F7UNS9,0.0,0.0,0.0,3
A0A0F7URF8,0.0,0.0,0.0,10
A0A0F7US18,0.0,0.0,0.0,2
A0A0F7UVN4,0.0,0.0,0.0,6
A0A0F7UVP8,0.0,0.0,0.0,3
A0A0F7UZ13,0.0,0.0,0.0,2
A0A0F7V4E5,0.0,0.0,0.0,1
A0A0F7V4M1,0.0,0.0,0.0,10
A0A0F7V5E7,0.0,0.0,0.0,3
A0A0F7V6C1,0.0,0.0,0.0,3
A0A0F7V6V4,0.0,0.0,0.0,2
A0A0G2JH50,0.0,0.0,0.0,2
A0A0G2JI36,0.0,0.0,0.0,1
A0A0G2JPD3,0.0,0.0,0.0,1
A0A0G2JPH3,0.0,0.0,0.0,7
A0A0G2JPU2,0.0,0.0,0.0,5
A0A0G2JQM2,0.0,0.0,0.0,3
A0A0J9YXY3,0.0,0.0,0.0,1
A0A0K0K1A5,0.0,0.0,0.0,1
A0A0K0K1D8,0.0,0.0,0.0,2
A0A0M3V1U8,0.0,0.0,0.0,6
A0A0U1RQK7,1.0,1.0,1.0,18
A0A0U1RR48,1.0,1.0,1.0,2
A0A125YGP5,1.0,1.0,1.0,6
A0A125YJ41,0.0,0.0,0.0,5
A0A125YJK4,1.0,1.0,1.0,4
A0A125YRD7,0.0,0.0,0.0,2
A0A125YWY4,0.0,0.0,0.0,7
A0A140T8Y4,0.0,0.0,0.0,1
A0A140T912,0.0,0.0,0.0,3
A0A140T913,0.0,0.0,0.0,4
