mol_source,mol_source_iri,mol_parent,mol_parent_iri,protein_id
Major core protein OPG129,https://www.uniprot.org/uniprot/P06440.1,Major core protein OPG129,http://www.uniprot.org/uniprot/P06440,P06440
Virion morphogenesis protein OPG132,https://www.uniprot.org/uniprot/P29192.1,Virion morphogenesis protein OPG132,http://www.uniprot.org/uniprot/P29192,P29192
Interleukin-1-binding protein precursor,http://www.ncbi.nlm.nih.gov/protein/P25212.1,Interleukin-1-binding protein,http://www.uniprot.org/uniprot/P25212,P25212
Ribonucleoside-diphosphate reductase large subunit,https://www.uniprot.org/uniprot/P12848.1,Ribonucleoside-diphosphate reductase large subunit,http://www.uniprot.org/uniprot/P12848,P12848
Virion envelope protein A14,http://www.ncbi.nlm.nih.gov/protein/P20991.1,Virion membrane protein OPG140,http://www.uniprot.org/uniprot/Q76ZQ3,Q76ZQ3
16.3k IMV membrane protein,http://www.ncbi.nlm.nih.gov/protein/CAM58322.1,Envelope protein OPG155,http://www.uniprot.org/uniprot/P68633,P68633
RhoA signalling inhibitor,http://www.ncbi.nlm.nih.gov/protein/CAM58219.1,Protein OPG055,http://www.uniprot.org/uniprot/Q80HX7,Q80HX7
Virion membrane protein A17L,http://www.ncbi.nlm.nih.gov/protein/P68593.1,Virion membrane protein OPG144 precursor,http://www.uniprot.org/uniprot/P68593,P68593
VACV-DUKE-134,http://www.ncbi.nlm.nih.gov/protein/ABD98596.1,Early transcription factor 82 kDa subunit,http://www.uniprot.org/uniprot/P20636,P20636
DNA-directed RNA polymerase 133 kDa polypeptide,https://www.uniprot.org/uniprot/Q76ZP7.1,DNA-directed RNA polymerase 133 kDa polypeptide,http://www.uniprot.org/uniprot/Q76ZP7,Q76ZP7
Serine proteinase inhibitor 2,http://www.ncbi.nlm.nih.gov/protein/P15059.2,Serine proteinase inhibitor 2,http://www.uniprot.org/uniprot/P15059,P15059
Probable serine/threonine-protein kinase B12,http://www.ncbi.nlm.nih.gov/protein/P24362.1,Pseudokinase OPG198,http://www.uniprot.org/uniprot/P24362,P24362
unknown,http://www.ncbi.nlm.nih.gov/protein/ABZ80007.1,Putative nuclease OPG089,http://www.uniprot.org/uniprot/Q80HX0,Q80HX0
Protein OPG176,https://www.uniprot.org/uniprot/P26672.1,Protein OPG176,http://www.uniprot.org/uniprot/P26672,P26672
unknown,http://www.ncbi.nlm.nih.gov/protein/ABZ79988.1,Protein OPG074,http://www.uniprot.org/uniprot/Q80HX1,Q80HX1
Ankyrin repeat protein M1,http://www.ncbi.nlm.nih.gov/protein/P14356.1,Inhibitor of Apoptosis OPG037,http://www.uniprot.org/uniprot/P14356,P14356
mRNA-capping enzyme regulatory subunit OPG124,https://www.uniprot.org/uniprot/P04318.1,mRNA-capping enzyme regulatory subunit OPG124,http://www.uniprot.org/uniprot/P04318,P04318
Envelope protein OPG108,https://www.uniprot.org/uniprot/P07240.1,Envelope protein OPG108,http://www.uniprot.org/uniprot/P07240,P07240
DNA-directed RNA polymerase 147 kDa polypeptide,https://www.uniprot.org/uniprot/P07392.1,DNA-directed RNA polymerase 147 kDa polypeptide,http://www.uniprot.org/uniprot/P07392,P07392
CD47-like antigen/integrin-associated protein,http://www.ncbi.nlm.nih.gov/protein/ABZ80123.1,Protein OPG166,http://www.uniprot.org/uniprot/P24763,P24763
Protein B6,http://www.ncbi.nlm.nih.gov/protein/P68442.1,Protein OPG191,http://www.uniprot.org/uniprot/P68442,P68442
Ribonucleoside-diphosphate reductase small chain,http://www.ncbi.nlm.nih.gov/protein/P11158.1,Ribonucleoside-diphosphate reductase small chain,http://www.uniprot.org/uniprot/P11158,P11158
Protein G7,http://www.ncbi.nlm.nih.gov/protein/P68716.1,Assembly protein G7,http://www.uniprot.org/uniprot/P68716,P68716
Intermediate transcription factor 3 large subunit,https://www.uniprot.org/uniprot/Q80HV2.1,Intermediate transcription factor 3 large subunit,http://www.uniprot.org/uniprot/Q80HV2,Q80HV2
Transcript release DNA helicase,http://www.ncbi.nlm.nih.gov/protein/P16712.1,Transcript termination protein OPG145,http://www.uniprot.org/uniprot/P16712,P16712
36 kDa late protein I1,http://www.ncbi.nlm.nih.gov/protein/P16714.2,Telomere-binding protein OPG077,http://www.uniprot.org/uniprot/P16714,P16714
Protein C10,http://www.ncbi.nlm.nih.gov/protein/P03296.1,Protein C10,http://www.uniprot.org/uniprot/P03296,P03296
Protein OPG056,https://www.uniprot.org/uniprot/Q80HX6.1,Protein OPG056,http://www.uniprot.org/uniprot/Q80HX6,Q80HX6
Rifampicin resistance protein,http://www.ncbi.nlm.nih.gov/protein/P68440.1,Scaffold protein OPG125,http://www.uniprot.org/uniprot/P68440,P68440
Ankyrin repeat protein C9,http://www.ncbi.nlm.nih.gov/protein/P17372.1,Ankyrin repeat protein OPG025,http://www.uniprot.org/uniprot/P17372,P17372
Poly(A) polymerase catalytic subunit,http://www.ncbi.nlm.nih.gov/protein/P23371.2,Poly(A) polymerase catalytic subunit,http://www.uniprot.org/uniprot/P23371,P23371
36 kDa major membrane protein precursor,http://www.ncbi.nlm.nih.gov/protein/P24358.1,Protein OPG049,http://www.uniprot.org/uniprot/P24358,P24358
Protein F15,http://www.ncbi.nlm.nih.gov/protein/P21020.1,Protein OPG060,http://www.uniprot.org/uniprot/Q80HX4,Q80HX4
Major core protein P4a precursor,http://www.ncbi.nlm.nih.gov/protein/CAM58300.1,Major core protein OPG136 precursor,http://www.uniprot.org/uniprot/P16715,P16715
